ID,Transcription,Tag,Link,Platform,Views,Classificação 
0,todo Bipolar é inteligente para Casseta acho que foram as pessoas mais inteligentes que eu conheci mas são as pessoas mais difíceis de tratar exatamente por isso que o Bipolar é uma mudança de humor muito violenta na fase eufórica eles têm ideias maravilhosas Eles não têm medo Eles apostam então eles conseguem chegar em nível de ousadia que a gente não faz agora quando cai na depressão eu vou te dizer uma coisa é pesa,TBP,https://www.instagram.com/reel/DHG0MjkuCmC/?igsh=MWNkbHNvZW42OTJmNA==,Instagram,162480,ÚTIL
1,eu vou vencer eu vou vencer eu vou ver eu vou ver eu quero ver um PC eu quero eu vou com você eu vou eu vou,TBP,https://www.instagram.com/reel/DGgn2dUv13t/?igsh=NWJ0Z3BzY3dncGU3,Instagram,570352,EXPERIÊNCIA PESSOAL
6,Você já percebeu que quando você fica mal parece que tudo na sua vida para Oi eu sou Rafael sou terapeuta cognitivo comportamental também sou estudante de medicina e crio conteúdos sobre saúde mental as coisas simples começam a ficar muito difíceis responder uma mensagem tomar banho ou escovar os dentes fazer as suas atividades do trabalho ou da faculdade tudo fica mais pesado a depressão faz isso com a gente então ela tira o nosso prazer em nossa motivação e a gente deixa de fazer as coisas só que quanto menos coisas a gente faz pior a gente se sente quanto pior a gente se sente menos coisas a gente faz e a gente fica preso num ciclo do cérebro funciona assim ele precisa de algum movimento para começar a funcionar e começar a agir então não adianta você esperar até a vontade é a motivação para começar se sentir melhor e fazer as coisas na verdade ao contrário você precisa fazer alguma coisa que daí começar a ter motivação e vontade e é por isso que na terapia a gente tem uma técnica que a gente ensina para o paciente que se chama ativação comportamental consiste basicamente em sair desse ciclo agora na prática se você tá se sentindo paralisado desse jeito pega três coisas muito simples que você tá evitando fazer então os dentes arrumar sua cama mandar uma mensagem para alguém importante arrumar sua mesa enfim coisas assim bem simples manda mais cinco minutos e você tá evitando parece uma coisa muito simples mas é daí tem que começar é justamente porque você tá atualizado então colocar para você aqui Arruma sua localização e se essa técnica te ajudar já me segue para aprender mais sobre depressão ansiedade terapia enfim e me conta nos comentários,TBP,https://www.instagram.com/reel/DGG6DsmvlDG/?igsh=MWt4dDdiN3FmZ3F5MQ==,Instagram,472931,ÚTIL
7,Oi eu sou a Gi eu tenho transtorno bipolar tipo 1 e hoje eu vou te contar como eu descobri que eu sou bipolar e talvez você já sabe essa história porque você tá aqui há muito tempo e se for seu caso comenta a raiz aqui para eu saber tá então pega sua pipoca e vamos lá antes do diagnóstico sempre me considerei ansiosa demais Sabe era sempre um misto entre ansiedade e irritabilidade demais onde em 2019 Eu tava no trabalho e meu coração começou a disparar do nada até que chegou a 170 VPN e eu tava sentada e eu resolvi ir para hospital até que me deram um calmante e só só que depois desse dia eles começou a acontecer todo dia durante uma semana até que me falaram para procurar um cartão mas ele sabe familiar mesmo sabe eu fui só que ele nem me deixou terminar de contar e por causa das aulas relações que eu tinha Ele já falou que era assim o nome do Pânico me deu um antidepressivo só que assim eu ouvi O Vizinho de Baixo piano eu tinha medo do banheiro porque achava que ela ia me engolir uma menina no banco de trás meu carro e enfim fiquei me passou eu comecei a tomar só que eu ficava completamente separada e ele só aumentava a dose até que eu decidi procurar um psiquiatra o que eu deveria ter feito desde o início né mas o meu preconceito e o medo de ser algo psiquiátrico não me deixou no Psiquiatra desde o começo no Psiquiatra ele me explicou que era uma crise de pânico e não a síndrome em si e que ele suspeitava tipo então eu comecei o tratamento e fui viajar na mesma semana eu tava na Bahia um hotel maravilhoso que eu já fui várias vezes e que gente eu não deixava de comer o pudim tapioca com leite condensado tinha lá tudo do café da manhã saudades mas dessa vez eu não conseguia nem sair do quarto então eu não conseguia comer também né então eu acabava pedindo serviço de quarto não para comer mas pela faca não tinha nada com tudo com carinho suficiente porque eu queria Então eu mandei mensagem o remédio para TDAH me jogou para uma das piores crises depressivas da minha vida e no mesmo instante o psiquiatra me respondeu e falou para parar com o remédio então TDAH foi descartado e a gente começou a investigação para ainda suposta bipolaridade eu passei o início de 2020 ainda suspeita e no comecinho de Junho eu tive uma crise maníaca que Fez o diagnóstico se confirmar eu lembro de ter ficado aliviada diagnóstico sabe porque foi uma sensação de meu Deus Encontraram o que tem de errado comigo porque assim sendo muito sincera se você também tem você vai entender era insustentável daquele jeito e como o transtorno mentais não tem cura eu seguindo meu tratamento mesmo quando eu tô bem porque ele continua salvando na minha vida todos os dias meu maior tempestade eu foi de 3 anos e 8 meses que só foi quebrado Porque eu tive essa bolacha e que além de transtorno bipolar também tive depressão pós-parto Mas isso é um assunto para outro e para quem tinha crise um mês não ficar três anos de 8 meses estava que é o espaço parece até mágica mas não é mágica nem milagre o tratamento certo pode mudar sua vida assim como mudou a minha e continuou mudando todos os dias então tá Não se esqueça disso porque você merece viver uma vida que vale a pena ser vivida,TBP,https://www.instagram.com/reel/DF3y46qyEnf/?igsh=dmo5eXl2cTA3M3ds,Instagram,321400,ÚTIL
9,para mim o Bipolar é aquela pessoa assim ai adorei daqui a três vezes você falando meu que que é isso odeio camisetas que que é a bipolaridade bom você começou pelo que não é né obrigado então mudar de opinião tem nada a ver não é uma pessoa duas caras puta meu chefe é duas caras falso não tem nada a ver não é uma dupla personalidade e muito menos é uma pessoa louca a bipolaridade tem dois polos de humor um é depressão que todo mundo sabe que é terrível que a pessoa fica super para baixo em linhas Gerais e outra é a mania que é um estado onde a pessoa fica super eufórica é autoconfiante faz mal de cagada e tal na Mania Você pode até dizer acho que que cabe que a pessoa está cometendo loucuras de fechar a porta você não sei lá então não tem nada a ver com mania de usar verde na quarta-feira ou maníaco do parque a maníaco de limpeza uma maneira ele não tem nada a ver não a mania ela é sinônimo de Euforia é um estado de humor que o humor tá lá nas alturas Você tá se achando você acha capaz de qualquer coisa super-herói me lembro até uma vez uma época que eu achava que eu poderia atravessar a rua de olho fechado e que nada ia acontecer a pessoa tratada bipolar Ou seja que ele não tá nem depressão Nem mania ele leva uma vida normal e nessa normalidade não dá para dizer que estigmatizar uma pessoa como louca porque do nada ela tava deitada ali agora ela quer atravessar a rua e pular assim você tem o Episódio de depressão e ele dura um tempo e aí você pode tanto ter uma virada direto para Mania como você pode ir para a estabilidade e depois da estabilidade ter a mania e são episódios mais longos por isso que não é uma mudança de opinião,TBP,https://www.instagram.com/reel/DCpTxRPSjSR/?igsh=MTRocmI3YTJpMjlu,Instagram,226388,ÚTIL
13,para você Eu tô tentando ser uma pessoa melhor eu tô tentando ser uma pessoa melhor tô tentando me ameaçar as pessoas vou ter que mandar matar esse cara matar ninguém,TBP,https://www.instagram.com/reel/DG88fbHv_ml/?igsh=MW10NzQ0YTMyM2Nodg==,Instagram,612594,ÚTIL
16,a pessoa que muda de humor que oscila de humor rapidamente ela não é bipolar na maioria das vezes ela é ansiosa ou ela tá deprimida e ela fica mais irritada e oscila mais fácil humor transtorno bipolar é uma doença do humor assim como a depressão só que ela tem uma característica onde a pessoa tem fases em que está deprimida e fases onde ela fica eufórica muito acelerada conversando muito falando muito agitada quer gastar muito dinheiro comprar muita coisa faz dívidas tem pensamentos de grandeza acho que Ganhou muito dinheiro e que tem uma fazenda e que tem um carro que tem não sei o quê completamente fora da realidade então é uma coisa bem perceptível quando existe não é uma coisa só de uma pessoa que uma hora tá feliz e outra hora tá triste e isso dura vários dias no mínimo cinco dias normalmente do tem pessoas que duram meses nessa fase De euforia antes de ir para uma fase depressiva então não essa oscilação de humor do dia a dia e as pessoas confundem muito elas banalizam a irritação do dia a dia com transtorno bipo,TBP,https://www.instagram.com/reel/DHLq7m8OTYK/?igsh=MWtjYjdsbmFsOG14cQ==,Instagram,1095583,ÚTIL
17,para mim o Bipolar é aquela pessoa assim ai adorei daqui a três vezes você falando meu que que é isso odeio camisetas que que é a bipolaridade bom você começou pelo que não é né obrigado então mudar de opinião tem nada a ver não é uma pessoa duas caras puta meu chefe é duas caras falso não tem nada a ver não é uma dupla personalidade e muito menos é uma pessoa louca a bipolaridade tem dois polos de humor um é depressão que todo mundo sabe que é terrível que a pessoa fica super para baixo em linhas Gerais e outra é a mania que é um estado onde a pessoa fica super eufórica é autoconfiante faz mal de cagada e tal na Mania Você pode até dizer acho que que cabe que a pessoa está cometendo loucuras porque maníaco de fechar a porta você consegue falar então não tem nada a ver com mania de usar verde na quarta-feira ou maníaco do parque a maníaco de limpeza uma maneira ele não tem nada a ver não a mania ela é sinônimo de Euforia é um estado de humor que o humor tá lá nas alturas Você tá se achando você acha capaz de qualquer coisa super-herói me lembro até uma vez uma época que eu achava que eu poderia atravessar a rua de olho fechado e que nada ia acontecer a pessoa tratada o bipolar Ou seja que ele não tá nem depressão Nem mania ele leva uma vida normal e nessa normalidade não dá para dizer que estigmatizar a pessoa como louca porque do nada ela tava deitada ali agora ela quer atravessar a rua e pular assim você tem um episódio de depressão e ele durou um tempo e aí você pode tanto ter uma virada direto para Mania como você pode ir para a estabilidade e depois da estabilidade ter a mania e são episódios mais longos por isso que não é uma mudança de opinião,TBP,https://www.instagram.com/reel/DJrU_uBu1IM/?igsh=MWdqOGZjcTEzcjVmeA==,Instagram,196920,NÃO INCLUÍDO 
18,aí a dica que eu dou para você é o seguinte compra compra compra comprar é o melhor remédio sabe por quê Porque quem tinha depressão era sua avó que antigamente não tinha cartão de crédito não tinha cheque especial não tinha nada disso hoje em dia mulher moderna mulher atual é dona de casa de hoje tu não fica mais em depressão não ela compra compra tudo só depois que vier a fatura que aí ela entra em depressão de novo então o processo é tudo isso ciclismo compra compra compra compra compra compra sai da depressão aí vem a fatura volta para depressão aí a gente espera um pouquinho dá um jeito de pagar faz empréstimo Liga para o amigo enfim a gente dá aquele jeito maravilhoso aquele jeito Nossa gostoso brasileiro seria a gente quando sabe encarar a gente volta a comprar tudo,TBP,https://www.instagram.com/reel/DC9cgxux41i/?igsh=NHNmMHExNWFlMDU1,Instagram,827755,ÚTIL
19,like oficial What's alaka oficial Show,TBP,https://www.instagram.com/reel/DIEATqOSu73/?igsh=MmtxNGI4c3cxdzcz,Instagram,148847,ÚTIL
