ID,Transcription,Tag,Link,Platform,Views,Classificação 
3,5 Manias que tenemos las personas neura Hands número Uno no sub,TDAH,https://www.instagram.com/reel/C8VgLihScuX/?igsh=Ymx2MXMyd3Jubjhx,Instagram,435547,espanhol 
5,o que que é o TDAH o que que configura uma pessoa com isso o transtorno neurobiológico de origem predominantemente genética na grande maioria dos casos nasce com a pessoa e é um transtorno que ele basicamente faz com que você tenha uma grande dificuldade em manter-se focado atividades que não sejam interessantes também tá ligado à questão no impulsividade a questão de você ter um menor filtro com relação ao que você fala suas atitudes na hora que você fala na hora que você ajeitar boa parte das vezes relacionado a interatividade também a gente fala assim não que é criança hiperativa em pessoas hiperativas não necessariamente tem TDH o traço principal do TDH dê atenção a hiperatividade ela pode estar presente ou não tá presente um pouco mais a maioria dos casos mas existem casos de pessoas que teria H que não tem hiperatividade por exemplo,TDAH,https://www.instagram.com/reel/ChvStxvJXQd/?igsh=MWNxZzdiZnp2OWg1,Instagram,265837,ÚTIL 
6,vantagens de um TDH Meu nome é Jonathan sou psicólogo especializado em neurociência 710 assim como eu se você tiver TDH eu vou te falar que talvez você tenha atribuições que são muito legais a primeira questão importante se dar pela criatividade raciocínio rápido acredite se quiser pessoas com telhado tem essa originalidade elas conseguem fazer links em situações isso é tão positivo que ela Possivelmente pode ter ideias muito boas empreendedorismo da parte artística até mesmo gente paz em soluções de problemas a outra atribuição Muito importante se dá através do hiperfoco atividades prazerosas elas são extremamente recompensadores Então se o TDH ela está exercendo algo que ela sente prazer é virtualmente ela vai executar essa atividade com mais estria terceiro ponto gente é entusiasmo e energia PH geralmente ele tem um estado de energia Acima da Média quando reforçado da forma correta pessoas com TDH gente eles caem no teste de uma forma muito rápida então sempre está se puxando a vivenciar experiências novas são muito importantes até reforçadoras você começar a ressignificar algumas partes da nossa vida como agora estou andando aqui no meio de uma praia já tomaram tanto no cu que a gente meio que já aprendeu com as nossas próprias frações Então pessoal se você gostou desse vídeo aqui nos comentários aqui embaixo e vamos fazer essa comunidade crescer,TDAH,https://www.instagram.com/reel/Cu7fdTUNp9M/?igsh=MW80YTZ0dGl0ZnV6Yw==,Instagram,1195297,ÚTIL 
7,eu tô indo na praia apaga tá feia tá,TDAH,https://www.instagram.com/reel/C8CjIcFOsOG/?igsh=M2xibWJtaW95bzBo,Instagram,936387,EXPERIÊNCIA PESSOAL 
8,tenho certeza a gente pode pedir outra coisa também se quiser escolhe aí vocês tá tranquilo tá tudo bem sim eu tô bem dá um pedaço amigo quero não obrigado viu Pode ficar tranquilo Tem certeza Eu tô bem eu falei eu tô bem eu falei que eu tô bem amigo por que que ele tá assim você acha que ele tá bravo com a gente nem fez nada Eu também Nossa amigo você tá bravo com a gente eu falei para você que eu tô bem mano eu tô bem,TDAH,https://www.instagram.com/reel/C-BKEYBvjJr/?igsh=NTU0YnAwZWt6YjVx,Instagram,1049411,EXPERIÊNCIA PESSOAL 
11,PlayStation 2 para saber se tem as definidas por Um Não se lembra se aparecer para outras mudanças do capacidade relativamente horária para ser outras apresentam pontos por mais de 5 segundos completamente necessário perigo pela operação nessa que tem uma capacidade de concentração next extremamente boina e isso é uma posição para consertar T Bueno,TDAH,https://www.instagram.com/reel/Cd4K2gQAINQ/?igsh=ejJpaDkzeXk5cjg4,Instagram,6209072,espanhol 
12,polícia agora nego se joga logo na pista eu te deixo rico que que é tô ocupado o senhor é o principal suspeito de um sequestro eu te ligo depois o senhor pegou uma criança na delegacia de Need witcher o meu filho alto o senhor não era seu filho oi Celina pode tirar seu capuz por favor que é isso eu juro que eu não fazia ideia você tá bem mais doce pode pedir para sua mãe vamos embora eu quero ficar aqui a minha mãe não deixa eu comer doces,TDAH,https://www.instagram.com/reel/C-X2vudRov_/?igsh=dW93bG9ieXprajY=,Instagram,2551188,OUTRO
13,tudo melhorou quando eu descobri que isso tem nome TDAH pessoas com esse transtorno não conseguem administrar o próprio tempo e é um processo doloroso porque a gente cresce ouvindo coisas você é estúpido você é vento Você é preguiçoso às vezes essa repressão vende que a gente mais ama e quem saiba mais e faço teste rápido e descubra se você precisa do desafio TDH,TDAH,https://www.instagram.com/reel/C9Xfzy7ByEt/?igsh=MXJuOG4zbGFwdGR5cQ==,Instagram,705411,EXPERIÊNCIA PESSOAL 
14,qual foi a última chance dele junto mas parei para assistir ontem Globo exposição Ok Google,TDAH,https://www.instagram.com/reel/C8hFpEiIT9J/?igsh=dXhxZGN0aThtNThy,Instagram,288613,espanhol 
17,milenar passada de família para família Obrigado Que porra é essa meu irmão,TDAH,https://www.instagram.com/reel/C-K5m5FOzZw/?igsh=am5hc2gwMDd4OTV6,Instagram,2682856,NÃO INCLUÍDO 
18,um relacionamento border com outro sendo TDH deve ser um bom desafio mesmo é um grande desafio tem que ter muito amor o TDH ele tem essa coisa desativa essa coisa que pode parecer desatenção com o outro e o borderline ele precisa da atenção super atenção do outro muitas vezes vai haver uma cobrança do Border em relação ao TDAH você não me ama você não leva em consideração as coisas que eu falo a data para todo mundo dar atenção para mim o borderline acha que o TDH tem que ficar o tempo todo prestando atenção nele então quando ele fala assim você sabe do que eu tô falando TDH não sabe agora são duas personalidades que eu te digo podem ter coisas afins porque o TDAH ele tem essa necessidade de ser acarinhado borderline quando gosta ele tem essa coisa de se dedicar a pessoa que ele gosta ele mostra o seu amor vão ter momentos maravilhosos e momentos de tempestade,TDAH,https://www.instagram.com/reel/C-F6hHrxlyV/?igsh=MWVpdWJucnRxdmVnbw==,Instagram,638746,NÃO INCLUÍDO
19,situações que eu só passei por ser extremamente Valéria para quem não sabe eu tenho uma irmã que hoje está com 13 anos e também diferença de idade com ela é simplesmente 13 anos eu fazia ela de bebê reborn praticamente o tanto que vocês achar que é bom ter uma irmã mais nova é mil vezes mais e quando a minha irmã nasceu Tipo antes ela nasceu na gravidez da minha mãe tava começando esse lance de chá revelação não é tipo a grandiosidade que era que é hoje né tipo avião Cachoeira colorida mas já tinha um cházinho Revelação ali que era uma coisa meio gringa assim tipo tinha poucos mais tinha e a minha mãe foi dar luz a minha irmã tava eu e a minha irmã do Meio lá para receber e tudo e aí sempre ver uma pessoa para checar as documentações e tudo do bebê início eu e minha irmã a gente tava de acompanhante da minha mãe e aí entrou essa mulher no quarto né pegando as documentações e tudo e como minha mãe tava muito alegre e ela fez algumas perguntas básicas para gente no caso para mim que eu era mais velha aí ela virou e falou qual cor você acha que representa a sua irmã aí eu virei e falei Rosa poderia ser branca poderia ser amarela poderia ser parda poderia ser preta não ela era rosa porque na minha cabeça eu tava falando aí a mulher falou não a cor do bebê aí a minha irmã lilás Sara porque ela acordou ela decorada na decoração,TDAH,https://www.instagram.com/reel/C9NBAkyq_OD/?igsh=MTFyOHM5anBuOGFtaA==,Instagram,416453,EXPERIÊNCIA PESSOAL 
20,e aí será que existe carro para quem tem TDH aqui a Ford Ranger te ajuda ó se você colocar o câmbio em D ou em ré esquecer que fez isso e abri a porta ao câmbio ele vai para pé sozinho tenho aqui não tem risco de você engatar a marcha e descer o carro porque simplesmente esqueceu,TDAH,https://www.instagram.com/reel/C-nVzzRur5p/?igsh=cXUzNTVibzBsa241,Instagram,837190,espanhol
