ID,Transcription,Tag,Link,Platform,Views,Classificação
0,o toque É também um dos coisas mais desafiadoras o toque de pensamento mais desafiador ainda eu imagino que eu não consigo imaginar como é que parar com o pensamento ela acaba indo para depressão é a consequência por quê Porque leva o cérebro a exaustão que o toque só pensa coisa ruim meu filho por isso que é obsessivo o toque do pensamento não qualquer toque não mas no meu caso era o transtorno preciso compulsivo que eu tinha que fazer aquilo senão o mundo acabar é o é é isso aí ó quando você fala transtorno obsessivo obsessivo é porque você é verdade é verdade se eu falar se eu não fizesse aquilo a vida não teria sentido porque se é uma coisa boa não pode ser pensamento obsessivo obsessivo ele se repete ele é negativo,TOC,https://www.instagram.com/reel/ChqA9jBgGt5/?igsh=cGpleDQ2NWcyMGRy,Instagram,1103167,ÚTIL
6,a gente conversando sobre Michael Jackson ele falou Michael Jackson mais Mania do Fernando toque grave e chegou uma hora que ele bateu ali na Psicose porque o toque muito grave pode evoluir para Psicose o que que é psicose quando a pessoa sai da realidade ela não começa a acreditar numa realidade que só é a realidade para ela não sei se lembra daquela cena do Michael Jackson entrando indo para o julgamento né e ele de guarda-chuva de pijama com olhar muito assustado aqui não olhar da Psicose o tanto que eu falei assim Falta um médico que gostasse desse cara porque ele não tinha condições de responder nada com outra realidade o que que leva Psicose é a medicação simplesmente uma doença que apareceu como uma doença que é tão conhecido diz que usou para mim e passa ouvir vozes ver coisas que não são reais ou pode ser consequência pelo uso pesado de drogas a pessoa tem aquela genética Quem fuma mais corre mais o risco de ter câncer que tem mais gatilho né,TOC,https://www.instagram.com/reel/CovPMQsAj-H/?igsh=MTdqYnNyOThycDJ5bA==,Instagram,1259396,ÚTIL
8,o toque nada mais é do que uma ansiedade muito grande você tem momentos toque que o toque você tem isso o tempo inteiro então se você fala assim que volta de vez em quando é porque isso em algum momento teu nível de ansiedade aí aquela coisa que já começar a projetar futuro futuro né viver no futuro que você nem sabe se vai ser daquele jeito você começa a fazer uma mensagem para o teu cérebro de medo de incerteza E aí nesse momento ele começa a descarregar adrenalina na hora adrenalina que te deixa mais amedrontada e aí você começa a ter medo inclusive ter esses pensamentos que são produzidos que são pensamentos de medo,TOC,https://www.instagram.com/reel/CoQXDQKg_mF/?igsh=eGg2dzRqZGF1djk=,Instagram,1175635,ÚTIL
10,Você sabe o que é transtorno dismórfico corporal é um transtorno relacionado ao transtorno obsessivo compulsivo onde a pessoa que tem ela enxerga um defeito em si mesmo mas esse defeito que ela enxerga a leva num prejuízo e no sofrimento intenso onde ela se compara com outras pessoas e ela busca incessantemente um padrão de perfeição buscando vários recursos que podem ser cirurgias plásticas procedimentos estéticos uso de anabolizantes esteroides compras de roupas kits de beleza bronzeamento exercícios intensos levantamento de peso e isso pode causar prejuízos na sua saúde física e prejuízos financeiros e isso ocupar na vida dessa pessoa diariamente de 3 a 8 horas as pessoas ao redor não percebem esse defeito e isso pode levar a depressão e até o suicídio,TOC,https://www.instagram.com/reel/DGePF7GxJrZ/?igsh=NjIxYTBseTlmaWZj,Instagram,186091,Transtorno dismorfico corporal
12,quem tem toque é um sofredor você pode ter certeza não é brincadeira não sei É mesmo é verdade eu sei eu tinha palavras que eu não podia dizer se tu já teve esse tipo de palavra se não se fala eu me livrei dessa até comentei com uma profissão ontem eu não recebi eu me livrei porque eu tinha sempre uma palavra que se por acaso alguém falasse eu tinha que dizer contra a senha da palavra é ficava ali mas eu tava conversando com um amigo meu ele falou uma palavra que eu não que eu não falava né que eu não admitia né mas eu não falo há mais de 40 anos aí cada vez que ele falava eu cuspia aí ele daí a pouco ele falava de novo a palavra e eu Sofia três vezes aí depois mais uma vez ele falou eu cuspi a terceira vez para de falar essa palavra não vou ficar desidratado,TOC,https://www.instagram.com/reel/CooHQlagmsD/?igsh=MzM0b2Vqem5wb3po,Instagram,1237270,"EXPERIÊNCIA PESSOAL"
19,que que esse Ano Internacional e preta,TOC,https://www.instagram.com/reel/DGngHnbxyek/?igsh=MTVhYTRkZjZheXMxNw==,Instagram,6726106,Espanhol
28,tá tudo bem tá Eu só tô sentindo que eu tô sendo enforcado por essa blusa aqui velho Nossa tá muito claro aqui por que que você não coloca óculos escuro eu não consigo enxergar com óculos escuro o que que aconteceu não é que meu cabelo fique gostando na cara não gosto eu odeio história mãe calma tá tudo bem Você tá Suada Eu não eu não gosto da aflição Nossa que escuro apaga essa luz apaga tá louco nossa muito claro isso aqui tá bom assim escurinho me dá aflição ficar muito claro assim não sei para quê mano para para para para para para para esse barulho me dá muita pressão ai por que que você trocou de roupa ai sei lá aquele tecido tava me dando aflição mano sei lá tava pegando porque tava me dando agonia aquele tecido sei lá aquela roupa,TOC,https://www.instagram.com/reel/DHUb9D_MOES/?igsh=NXB4dW03b3hyeGFy,Instagram,2373330,Pessoas Neurodivergentes
30,novo destaca a carteira Venezuela de motivo ok ok amor infinito gênico entra de nós sem ele tua presença maravilhosa,TOC,https://www.instagram.com/reel/DGRdmwmJwLQ/?igsh=Zmkxenl4c3kzNHpr,Instagram,7304922,Espanhol
31,FIFA turista profissional durante 15 anos tive a Rua 4 anos em primeira edição e não me atravessar mas só por medidas publicou cara estava piando toda toda vermelha Gastei um botões companheiros Cheguei antes de Celebrar nome fui eu na esquina era amigo madeira passa pela câmera,TOC,https://www.instagram.com/reel/DCRhmDVMf_R/?igsh=MXc3dGNha20yZXgxeA==,Instagram,2664871,Espanhol
39,o toque É também um dos coisas mais desafiadoras o toque de pensamento mais desafiador ainda eu imagino que eu não consigo imaginar como é que parar com o pensamento ela acaba indo para depressão é a consequência por quê Porque leva o cérebro a exaustão que o toque só pensa coisa ruim meu filho por isso que é obsessivo o toque do pensamento não qualquer toque não mas no meu caso era o transtorno preciso compulsivo que eu tinha que fazer aquilo senão o mundo acabar é o é é isso aí ó quando você fala transtorno obsessivo obsessivo é porque você é verdade é verdade se eu falar se eu não fizesse aquilo a vida não teria sentido porque se é uma coisa boa não pode ser pensamento obsessivo obsessivo ele se repete ele é negativo,TOC,https://www.instagram.com/reel/ChqA9jBgGt5/?igsh=YTdrODlhdW12ZDM=,Instagram,1103168,Repetido
