ID,Transcription,Tag,Link,Plataform,Views,Classificação
3,Perfect outbacks horário das Neves Extra Dina water on the four based,ansiedade,https://www.instagram.com/reel/C9PYPffuoVd/?igsh=MTk0bTdubW4xNXJybQ==,Instagram,5902720,Inglês
12,o que você tá sentindo tão cedo eu tenho ansiedade,ansiedade,https://www.instagram.com/reel/CmSdSD8DOWn/?igsh=MW1xejVrYmY3MXRmNQ==,Instagram,2237871,
17,Juliana Hatch do best for you evening feels e o rapper anos 80,ansiedade,https://www.instagram.com/reel/C_Y8n0MyQk2/?igsh=MTJrNWxmcW5pNW55eg==,Instagram,2768650,Inglês
22,Eu sempre me curei sozinho eu não tenho costume de falar para alguém eu não gosto de parecer Fraco mas também não quer dizer que eu seja forte eu sempre fui uma maior que todo mundo mais forte ou mais engraçado não tive tempo para cá eu tenho percebido que pessoa menos que todo mundo e eu não consigo me abrir para ninguém eu não consigo falar o que eu sinto você já veio muito tempo mas eu ainda consigo parecer forte não mudei com as outras pessoas eu só mostro minha fraqueza quando ela tá sozinha em casa,ansiedade,https://www.instagram.com/reel/Cy3Dpd4u2mA/?igsh=MWZhcnQzYXJpODJzOA==,Instagram,1811926,
23,falo não é todo mundo morreria por alguém da família não morreria você não morreria pelo pela sua mulher pela sua mãe você viveria por alguém da sua família o que que é viveria é viver bem até o meu pai 82 anos ali você você toparia se alimentar de forma saudável parar de fumar parar de beber fazer um esporte para viver pela sua família,ansiedade,https://www.instagram.com/reel/DHsw8yeO8NO/?igsh=dTkwcTc1NjFjaWo3,Instagram,2881558,
24,se alguém está mais focado em como você reagiu do que no que ela fez para provocar sua reação cuidado e se chama manipulação essa pessoa não tem tanta consciência das ações dela e vai se surpreender se você tentar traçar seus limites ou vai te culpar se você tentar se explicar essa técnica se chama inversão de culpa onde o manipulador ignora o próprio comportamento e Foca no seu como se o seu ato de se defender fosse um ataque É um mecanismo inconsciente de auto proteção onde no fundo a pessoa tem tanto medo e desconfiança que ela sente um prazer a confirmar essa crença dela na cabeça no fundo é uma falta de autoconhecimento e de empatia da pessoa mas manipulação e manipulação você sempre vai ter o direito de traçar os seus limites por mais que a pessoa não reconheça o comportamento dela mas foco menos ansiedade,ansiedade,https://www.instagram.com/reel/DFxKFhURbku/?igsh=OGoxOWJyZ2gzZWMz,Instagram,1897707,
27,se você conquistou trabalhando depressão ansiedade dor no corpo e raiva,ansiedade,https://www.instagram.com/reel/DGNuPILRyat/?igsh=MTE0NzNhZTE0a2p4dQ==,Instagram,13100801,
31,se o seu primeiro instinto numa discussão é proteger a si mesmo ao invés da relação com a pessoa que você está discutindo você não tá se comunicando com a pessoa só tá Protegendo o seu ego uma relação saudável não é um contra o outro é os dois contra o problema se a pessoa fala que se sentiu machucada você não tenta se justificar falando do que você fez ou deixou de fazer isso não resolve o conflito é só uma defesa do Ego não é sobre você é sobre a relação você quer estar certo ou quer ser feliz a origem dos conflitos e da ruína de qualquer tipo de relacionamento vem da crença de que você nunca pode estar errado para a relação ser saudável o que gera uma competição entre os egos mas para uma relação ser saudável você não precisa estar sempre certo você precisa ter coragem de admitir quando estiver errado mas foco menos ansiedade,ansiedade,https://www.instagram.com/reel/DJEmOkLNtgY/?igsh=MWhvZ2V2dDN1cWo4eQ==,Instagram,2010789,
32,Você sabia que o seu sentimentos duram no máximo 90 segundos amor ansiedade medo e raiva Durão um minuto e meio eles só vão durar mais do que isso se você alimentar eles com pensamentos de alguma forma você escolhe se você continua sentindo medo se você continua amando tal pessoa se você continua sentindo raiva de tal situação aí tem um negócio que chama estrutura de processamento cerebral que basicamente significa se você sempre alimentou aquela emoção o seu cérebro vai fazer isso automaticamente o que acontece com muitas pessoas que sentem ansiedade e uma das coisas que você pode fazer para mudar isso de acordo com a autora feito Harper é você pensar em outra coisa a partir do momento em que o sentimento vida então no momento que o sentimento vivo você se distrai você pensa quantas medalhas de ouro o Brasil ganhou até agora que dia que é o aniversário de tal amiga minha esse livro que ele vale muito a pena ele fala sobre traumas ele fala sobre ansiedade ele fala sobre como você pode usar técnicas para impedir que essas coisas dominam e a sua vida vai ficar muito melhor eu te prometo além dele ser minúsculo e tipo a leitura dele é uma das mais gostosas porque essa autora aqui ela é muito engraçada eu vou deixar o link na minha bio,ansiedade,https://www.instagram.com/reel/C-ldne6S5wG/?igsh=MTN0dWJvbDd5ZmJ1eg==,Instagram,1420394,ENGANOSO
39,um amor desse jeito filha oi filha aqui como que você tá hein vamos embora para casa não pai meu marido ele vai voltar tô esperando ele não vai voltar filha tá ele não vai tá ele mandou mensagem para mim vim te buscar tá Não Não ele mandou te buscar tá olha aqui quem ama de verdade não abandona tá não chama tá vamos lá que tá suas irmãs pra sua mãe te esperando,ansiedade,https://www.instagram.com/reel/DH7Z-D3u1-z/?igsh=djU1dnY0ODAwNGRx,Instagram,4662757,
42,Você já percebeu que quando você fica mal parece que tudo na sua vida para Oi eu sou Rafael sou terapeuta cognitivo comportamental também sou estudante de medicina e crio conteúdos sobre saúde mental as coisas simples começam a ficar muito difíceis responder uma mensagem tomar banho ou escovar os dentes fazer as suas atividades do trabalho ou da faculdade tudo fica mais pesado a depressão faz isso com a gente então ela tira o nosso prazer em nossa motivação e a gente deixa de fazer as coisas só que quanto menos coisas a gente faz pior a gente se sente quanto pior a gente se sente menos coisas a gente faz e a gente fica preso num ciclo do cérebro funciona assim ele precisa de algum movimento para começar a funcionar e começar a agir então não adianta você esperar até a vontade é a motivação para começar se sentir melhor e fazer as coisas na verdade ao contrário você precisa fazer alguma coisa que daí começar a ter motivação e vontade e é por isso que na terapia a gente tem uma técnica que a gente ensina para o paciente que se chama ativação comportamental consiste basicamente em sair desse ciclo agora na prática se você tá se sentindo paralisado desse jeito pega três coisas muito simples que você tá evitando fazer então os dentes arrumar sua cama mandar uma mensagem para alguém importante arrumar sua mesa enfim coisas assim bem simples manda mais cinco minutos e você tá evitando parece uma coisa muito simples mas é daí tem que começar é justamente porque você tá atualizado então colocar para você aqui Arruma sua localização e se essa técnica te ajudar já me segue para aprender mais sobre depressão ansiedade terapia enfim e me conta nos comentários,ansiedade,https://www.instagram.com/reel/DGG6DsmvlDG/?igsh=Y2RzeG52NzNocnlm,Instagram,471602,
49,me chama para nada não que hoje eu quero ficar sozinho quero jogar meu joguinho aqui quero assistir meus negocinho não me chama para nada não viu hoje eu não quero hoje eu não vou me chame para para não quero conhecer ninguém hoje não quero socializar não quero nem olhar porra de ninguém eu quero ficar sozinho não quer falar com ninguém não fala comigo não que eu já estou ruim hoje eu tô muito amargo eu não vou vou ficar em casa eu não vou receber ninguém em casa também porque eu quero ficar sozinho não quero ficar com ninguém e se você quiser ficar com alguém você quer sair com alguém ou você faz o seguinte você sai com alguém você você chama algum amigo seu viu,ansiedade,https://www.instagram.com/reel/DGHOuBnR6FR/?igsh=NGRibm84ZzJrMXVh,Instagram,1012115,
