ID,Transcription,Tag,Link,Views,Plataforma,Classificação 
0,eu queria pedir uma coisa para vocês que levantaram a mão pela segunda vez por gentileza olha para o Bruno eu vim aqui por todos mas em especial por vocês porque esse trabalho de verdade é um trabalho por amor à vida e a vida de vocês ela é muito importante para mim olhe pro Bruno os que levantaram uma pela segunda vez por gentileza com muito carinho venham aqui que eu quero dar pessoalmente um abraço em cada um de vocês que levantaram a mão pela segunda vez pode vir se cuida meu irmão se fudeu obrigado obrigado Você que Deus abençoe que você fique firme tá você entendeu o que é uma fase você promete que você nunca mais faz isso por você e pelas pessoas que você ama se cuida tá bom você é muito importante pra gente tá bem obrigado obrigado você é importante pra gente nós amamos vocês tá bom se cuida,suicidio,https://www.instagram.com/reel/DKSViCTx_Cb/?igsh=MWUwenJlbDl1enBrYw==,101524,Instagram,ENGANOSO
1,e o pior de tudo é quando a mente começa a sugerir para você colocar um ponto final na sua própria história e quantos de vocês que estão aqui que apesar de serem tão jovenzinhos Sabe o que eu tô falando cara do que você tá passando por um período difícil na sua família você correr para o seu quarto você ter um pouquinho de só que a paz não vem e o que vem é uma forte uma terrível vontade de você acabar com a tua vida verdadeiramente Olha só para o Bruno agora fazendo favor não quero que ninguém levante a mão porque tá emocionado eu quero que vocês pensem para levantar a mão tudo bem não levanta a mão porque o colega levantou e não vomita também é pessoal levanta a mão só quem já passou pelo que eu falei aqui agora você tava passando por um período Difícil tu queria só um pouquinho de paz a paz não vê a tranquilidade não veio na hora que você chegou no teu quarto porque a sua mente começou a te sugerir foi de você colocar um ponto final na tua própria história levanta a mão aqui se alguém já chegou ao ponto de pensar em tirar a própria vida só quem já pensou pessoal tá pode abaixar a mãozinha levanta a mão em quem esses pensamentos eles foram ficando recorrentes e repetitivas repetitivos repetitivos repetitivos e na hora que você percebeu que já estava tentando tirar a sua vida levanta a mão se alguém aqui já chegou ao ponto de tentar contra a própria vida vocês que levantar a mão pela segunda vez vem aqui no Bruno fazendo favor eu quero dar um abraço e juntar todos os caquinhos que estão dentro de vocês agora se cuida entendeu Você entendeu o que é uma frase tamo junto entendeu de verdade se cuida entendeu Você entendeu o que é uma fase de verdade se cuida viu se cuida tá você entendeu que é uma frase está,suicidio,https://www.instagram.com/reel/DGef1GstncA/?igsh=aTh5NDdzMXZmaXR0,57481,Instagram,ENGANOSO
2,obrigado viu Obrigado você entendeu escutando tudo isso nunca ninguém te amo do apartamento sobre um assunto importante eu acho que tá bem tá leve você entendeu o que você é importante para a gente nós amamos vocês tá bom se cuida sim eu achei que seria só mais uma palestra que alguém viria e falar assim não ia ser tão emocional não ia tocar tanto a gente igual tocou hoje mesmo quando eu acordar às vezes eu vou ficar lá sentado pegando sol eu senti a coisinha maior falei não eu vou aí ainda bem que eu vi o papel que ele fez para mim pelo menos assim gente foi maravilhoso eu acho que ninguém nunca tinha falado abertamente pelo menos comigo tocou muito sobre tantos assuntos principalmente em casa porque aqui na escola a gente é uma coisa mas dentro de casa totalmente outra a gente tem diversos problemas que a gente não traz para cá porque aqui é outra realidade que é outra coisa então Ele fala sobre socorro ai foi maravilhoso eu amei eu acho que poderia trazer um momento pai eu gostaria bastante momento que ele chamou a gente sabe da relação tirar a própria vida muita gente a maioria das pessoas que nunca nem soube disso que é uma coisa muito pessoal muito pessoal minha mesmo só que eu me senti chegar sabe eu me senti confortável falar sobre isso levantava vim aqui dar um abraço nele levantar minha mão me sentindo muito confortável ele passou isso para a gente então eu acho que eu precisava ouvir isso porque né todo dia que a gente tá bem daí fala tem vermes na nossa vida então eu penso que você tocou com certeza vou levar essa palestra para um futuro melhor,suicidio,https://www.instagram.com/reel/DKfkWoTxmoH/?igsh=cTU5ZGV5eG5qbnpi,102834,Instagram,EXPERIÊNCIA PESSOAL 
3,alguém te perguntou como é que foi seu dia uma palavra amiga uma notícia boa isso faz falta no dia a dia a gente nunca sabe quem são essas pessoas eu sei sentir são vocês vocês são a família cara pô,suicidio,https://www.instagram.com/reel/C_YgqeptZzm/?igsh=MXBmdWVmaWJ4ZHh1Zg==,314749,Instagram,ENGANOSO 
4,certa vez fizeram a seguinte pergunta a Chico Xavier como Podemos distinguir um surto Psicótico de Uma Obsessão e ele respondeu os sintomas são muito próximos uns dos outros a grosso modo não se pode diferenciar somente com o acompanhamento sistemático persistente e acuidade Clínico doutrinária pode-se chegar a um diagnóstico muitos dos chamados loucos sofrem é uma Possessão como cobrança de um passado Tenebroso segundo Allan Kardec a verdadeira loucura provém de um certo estado patológico do cérebro instrumento do pensamento estando instrumento desorganizado o pensamento fica alterado entre as causas mais numerosas de superação cerebral devemos contar as decepções as desgraças as afeições contrariadas que são ao mesmo tempo as causas mais frequentes do suicídio é necessário distinguir a loucura patológica da loucura obsessiva A primeira é produzida por uma desordem nos órgãos da manifestação do pensamento na loucura obsessiva não há lesão orgânica é o próprio espírito que se acha afetado pela subjugação de um espírito estranho que o domina e o comanda sendo então difícil distinguir se a doença é físico ou mental ou espiritual recomenda-se consultar Primeiramente um médico psiquiatra ou neurologista para analisar o caso e simultaneamente frequentar um Centro Espírita que possua reunião de desobsessão reservada para realizar o tratamento espiritual adequado,suicidio,https://www.instagram.com/reel/C3ckK40MxMC/?igsh=MXN5MngzNDNjZjlreA==,53217,Instagram,
5,os filhos não devem ter rede social antes dos 16 Jonathan é pai de um casal de adolescentes ele sabe existe o mundo ideal e o mundo real Mas onde fica o mundo possível minha filha tem 15 e ainda não tem nenhuma rede social ela manda mensagem ela faz ligação por vídeo com as amigas Então isso é fundamental ainda mais para garotas outra coisa que não tem negociação é tela no quarto à noite não deixe seu filho ter qualquer tela no quarto ele dá um jeito de usar Escondido debaixo do lençol e é a noite que os assédios de adultos a menores de idade mais acontece eu sei que para pais e mães são medidas difíceis minha esposa sempre reclama que eu sou muito mole minha filha pede Jonathan você escreveu um livro sobre isso entre confidências e alertas importantes participou do sexto congresso social do laboratório inteligência de vida referência na área claro todo mundo tem medo da violência no mundo real Mas a gente não percebe bem que as crianças online também correm riscos de danos físicos e psicológicos,suicidio,https://www.instagram.com/reel/DKhN9aKuk_3/?igsh=MTd1YnFxN2QzZWJvMQ==,46909,Instagram,ENGANOSO
6,uma mãe e seu filho no mês de março de 1865 um negociante de Uma cidadezinha perto de Paris tinha em casa o filho de 21 anos gravemente enfermo esse jovem sentindo-se prestes a expirar chamou a mãe e ainda teve força para beijá-la disse-lhe esta derramando abundantes lágrimas vai meu filho precede me não tardaria a seguinte as pessoas presentes a essa cena pungente consideraram as palavras da senhora como uma simples explosão de dor que o tempo e a razão deviam acalmar no entanto tendo doente sucumbido procuraram naquela casa toda e encontraram na enforcada num sótão o cortejo fúnebre da mãe Face ao mesmo tempo que o do filho evocação do filho vários dias depois do acontecimento tem desconhecimento da morte de vossa mãe que se suicidou-se combina ao desespero que possa perda lhe causou Sim e sem o desgosto que me causou a execução de sua fatal resolução eu seria perfeitamente feliz pobre e excelente mãe ela não pode suportar a prova desta separação momentânea e tomou para se reunir ao filho que tanto amava a estrada que devia afastá-la dele infelizmente por muito tempo ela retardou assim indefinidamente essa reunião que teria sido tão imediata se a submissão as vontades do Senhor tivesse preenchido sua alma e se ela tivesse resignado humilde arrependida diante da prova que ia sofrer e da expiação que ia purificá-la,suicidio,https://www.instagram.com/reel/C3QIu19gUq4/?igsh=Mno1MGdoMjEzd2g=,47693,Instagram,ENGANOSO 
7,eu falo neste livro aqui quão bom seria que toda a igreja tivesse um consultório psicológico para depois que a pessoa aceitou a Jesus ao invés dela ir primeiro fazer discipulado ela passar por terapia dentro do escritório psicológica ela chegar curada para discipulado porque tem muita gente que tá na igreja batizado é homem de Deus é mulher de Deus Deus usa mas tem uma coisa lá do passado que tá dentro do inconsciente dela e se ela não curar isso ela não cuidar isso lá no futuro vai atrapalhar o ministério dela a família dela quer ver tava em Curitiba a esposa do pastor 300 suicida lá na frente todo mundo assustou irmão quando vem a esposa do pastor a galera pira porque a galera fala a pastora a que cuida das ovelhas pensa que a pastora é uma mulher maravilha parece que passou super-heróis mano aquelas todo mundo assustando aí eu orei por ela liberei uma palavra ela é mais um monte de gente que foi na foi me levar no hotel ela foi me contar o porquê que ela tentava se matar e tinha vontade de morrer foi abusada sexualmente pelo pai dela quando ela tinha 5 anos e ela nunca perdoou o pai e ela nunca curou aquilo então ela não passou por um tratamento aí eu falei assim para ela passou Deus tirou tudo mas terapia que você não precisa tirar essas bagagens passada e jogar fora então por que nós precisamos entender que a igreja é um hospital mas não é um hospital que faz mágica não eu levantei a mão aceitei Jesus ele foi embora não é assim que funciona eu conheço o caso que o cara tava com a depressão,suicidio,https://www.instagram.com/reel/C2kMz_6gmHo/?igsh=ZGF3ZmJ5cTBjZ2E3,62215,Instagram,ENGANOSO 
8,Agostinho Jonas isso é suficiente o namoro com ele nunca lançarei como mamar se tu ia olhar a possibilidade de tempo atrás olharia agora Agostinho ele era responsabilidade aquela touca a cada aluna como será fracionárias deve se separaram em Maio de 2010 sobre energia só poderia dar uma ideia enquanto esse profissional marca importante,suicidio,https://www.instagram.com/reel/C2NxIpDRPJR/?igsh=MTJ0Y2xkdHh0a2QzZA==,48405,Instagram,ESPANHOL 
9,cara eu falei uma coisa uma vez que eu acho que faz sentido Júnior assim ó cada moleque se interagir Mano você tem que pensar que a última vez você vai ver ela entendeu Não importa se tá com ela um dia um mês uma semana um ano cada vez que você vê essa mulher faz de conta que a última vez tá vendo ela cara você não sabe amanhã ela pode ir de pus sei lá ir com a cara do porteiro do prédio e transar com o cara entendeu já pensa que a natureza feminina da mulher profana e meio vagabunda mesmo beleza velho não é fácil,suicidio,https://www.instagram.com/reel/C6fmLjEMUn3/?igsh=MWRhYTRqaGY2bzlvYg==,128942,Instagram,EXCLUÍDO 
