ID,Transcription,tag,Link
0,,TDAH,https://www.instagram.com/reel/C7R-sQeOB81/?igsh=MWZmeDk1bmxqanU4ZQ==
1,,TDAH,https://www.instagram.com/reel/C-kvG_MNpZt/?igsh=NDVyZmNkcHcxbXNn
3,você consegue desfocar a sua visão tipo deixar ela embaçada Pois então eu consigo fazer isso de propósito E eu achava muito que era super comum e todo mundo conseguia fazer isso pois é isso que eu descobri que é uma característica do TDH e Eu Tô chocada basicamente quando eu estou conversando com alguém e a pessoa fala muito eu simplesmente embaço a minha visão de propósito por exemplo a pessoa passa a ter três quatro olhos porque fica tudo embaçado realmente às vezes ela fica com duas cabeças enquanto ela fala eu dou uma cochilada Eu Dou aquela embaçada na visão e meio que dá uma cochilada de olho aberto e aí quando ela fala então o que que você acha eu falo Nossa complicado aí eu volto desembaça e é óbvio que eu fui pesquisar e realmente existe essa relação entre conseguir embaçar à vista e o TDH inclusive não é nem muito indicado diz que pode prejudicar aí a nossa visão ao longo prazo mas cara é tão natural que existe até um campo de estudo chamado neurovisão justamente para estudar essa associação entre a parte neurológica e a visão comenta aqui para mim se você faz isso também não é possível gente que não é super normalzão eu tô chocado porque isso aí para mim a coisa mais assim ah bom dia bom dia já tô lá aqui ó desfocando a visão Tão natural tão comum mas não é né,TDAH,https://www.instagram.com/reel/C-Ra0q4tm6g/?igsh=MTR4YXd3dHZjcWZkaQ==
4,eu sou mãe de dois adolescentes autistas mais um autista tem TDH e o outro não tem TDH e agora você vai entender como o TDH faz uma diferença absurda no comportamento das crianças que são autistas há na área é a minha filha autista de 12 anos que não tem TDH Ela sempre fica muito preocupada em resolver todas as atividades da escola tem muita preocupação com o prazo e ela consegue deixar tudo certo muito antes do prazo nada consegue determinar uma linha e ela consegue executar as atividades automaticamente em uma ordem fazendo uma por vez é claro que ela tem hiper Fox ela é hiper focada em jogos ela é hiper focada em papelarias e ela não pode ver uma garrafa de monster que ela quer trazer para cá tudo para ela tem que estar muito organizado e ela precisa de muita previsibilidade em tudo que ela vai fazer já o Alexandre que é o meu filho autista que tenta IDH não consegue fazer uma coisa de cada vez ele sempre tem que fazer duas três coisas ao mesmo tempo a Super Nintendo porque eu também sou autista com TDAH então automaticamente eu entendo meu filho eu sempre tô fazendo mais de uma coisa ao mesmo tempo Alexandre quando ele vai fazer atividade ele tá com um tablet jogando ele precisa colocar um desenho do Hiper foco dele e aí sim ele consegue fazer as atividades da escola mas ao contrário da Nayara ele nunca faz acontecer ele acaba deixando para fazer sempre em cima da hora por incrível que pareça ele funciona muito bem sobre pressão e Corrigindo o fato de deixar para a última hora a gente precisa lembrar que pessoas que tem TDH elas estão tentando sempre executar as atividades Não é questão procrastinando é que acontece coisas que atrapalha a execução do trabalho diretamente,TDAH,https://www.instagram.com/reel/C8fA7Pgs_O7/?igsh=bGkxZmVlNTR5aW41
7,,TDAH,https://www.instagram.com/reel/C7x3aiaMTQ_/?igsh=YXF5cnZ1aWR3OXRz
11,,TDAH,https://www.instagram.com/reel/C7XWMA7P70s/?igsh=MTFxdWhxaXhpZWN0aQ==
13,como seria estar na mente de alguém com TDAH Este é o penúltimo episódio da nossa série analisando o transtornos mentais pessoas com esse transtorno são absurdamente brilhantes são as que sempre começam novos projetos cursos e trabalhos mas infelizmente quase nunca os terminam são pessoas agitadas que gostam de conversar mas que estão sempre se perdendo em palavras mudando rapidamente de assunto e sem perceber alterando o sentido da conversa isso acontece porque eles têm uma absurda falta de dopamina que é o principal neurotransmissor responsável por nos dar prazer quando uma atividade gratificante é realizada a dopamina funciona como uma espécie de recompensa para o cérebro quando fazemos algo que gostamos nosso cérebro libera dopamina e isso nos faz sentir bem e motivados para continuar imagine jogar um videogame que nunca te dá pontos ou Recompensas não importa o quanto você se esforce você provavelmente perderia o interesse e pararia de jogar para alguém com th muitas tarefas do dia a dia se sentem assim sem recompensa ou motivação suficiente para mantê-los focados isso leva ao esquecimento frequente e a sensação de que o tempo passa sem Progresso é dessa dificuldade em manter o foco que surgiu a expressão Você parece que está no mundo da lua,TDAH,https://www.instagram.com/reel/C9qCOfrPzsG/?igsh=MXhvcDgxdWYyOWM2dw==
14,jornal de São João aqui.com Jornalista João discípulo virgem touro esse novo possível de melhor o peão se não você faz do outro cartão sim mas vou tentar portão sem calcinha na escola pois é mesmo eu posso falar se tu jogar aqui é o nome dele esse amistoso que se tu fode Amanhã você faz de bom na vida real você disse que amor pode fazer chamamento eu não sei permanece,TDAH,https://www.instagram.com/reel/C59EB87tgHO/?igsh=MTdzM2luN3g4dDk1eA==
15,morro de preguiça de falar com as pessoas tem hora meu nome é Clara Alice eu tenho uma mente TDH fisioterapeuta também hoje aconteceu uma história agora à tarde com a minha mãe o carro dela estragou e ela ficou muito estressada demorou muito a energia mental minha Errei o caminho isso me mandou muita energia mental fora que eu penso muitas coisas ao mesmo tempo Como Uma Mente TDH é isso que nós chegamos em casa do caminho para cá a minha cabeça já começou a doer horrores praticamente eu entrei no processo de introspecção chegou em casa ela falou diversas coisas comigo eu não respondi nenhuma dela para poder meu carregador eu peguei o carregador Claro Obrigada por ter ido lá eu é porque eu estou fazendo jura de silêncio Não é porque eu sou insensível Não é porque eu tô querendo deixar ela no vácuo não eu estou com cansaço mental quando eu estou com cansaço mental eu não consigo falar daí eu fico introspectiva festa na minha boca eu não quero falar com ninguém com absolutamente ninguém e não é que a gente é uma pessoa ruim é que a gente tá cansado mentalmente Às vezes as pessoas cobram da gente responde me responde Por que que você não fala nada é porque eu não consigo falar e o fato da pessoa ficar em cima de mim querendo que eu fale então é uma coisa me cansa mais ainda mentalmente porque eu não estou conseguindo falar mas recarregar essa energia mental E aí eu volto ao normal ele volta a conversar normal alguém se identifica,TDAH,https://www.instagram.com/reel/C9DoXALxqFX/?igsh=ZHFub2xjcjV6eTdv
16,Eu queria colocar um tema importante especialmente a todas as mães que apresentam algum filho com déficit de atenção que estão levando eles aos médicos acredite no que eu vou dizer isso também impacta em todos os concurseiros há hoje um número enorme de crianças sendo diagnosticado de forma errônea com déficit de atenção por conta do seu comportamento alimentar o uso excessivo e abusivo até observo de Açúcar esse corantes corante todo o refrigerante tem corante todos os sucos tem corantes todos os produtos recheados bolachas de biscoitos tem corantes todos aqueles cereais matinais que dizem que a melhor coisa que uma criança tem um que tem umas bolinhas espirais coloridos dentro de limão laranja Você tem noção de quanto o corante e açúcar aquilo gera uma excitação cerebral tão grande que a criança perde a concentração ela não consegue ficar parada então muitas pessoas que eu quero dizer que tem muitas crianças que corrigindo a sua alimentação Muito provavelmente não precisariam tá usando essa medicação então estendendo esse raciocínio lógico concurseiros tem muito concurseiro fazendo uso desnecessário porque bastava ajustar o seu sono e a sua alimentação e não vai ser usando essa medicação que você vai consertar o problema porque ela está precisando de descanso ela tá precisando de um sono ninguém trata as prioridades só que mantém o giro do motor cerebral da pessoa extremamente acelerado gerando mais ansiedade gerando mais irritabilidade e muito provavelmente também implicando num sono pior,TDAH,https://www.instagram.com/reel/C-VEY0OOzMX/?igsh=MXM3ODFqdjMyMXJlaA==
