ID;Transcription;tag;Link;classifier
0;é que vocês vão ao banheiro e quando sai sai todo o calção todo enrolado a bermuda toda enrolada Ei eu acho que eu vou contratar uma pessoa sabe Para quê Quem é essa pessoa eu não sei para me ajudar a ensinar vocês a vestir a roupa porque eu já passei 43 anos e não consegui os calções é toda vez que vocês vão no banheiro deixa eu passar toda bagunça por que hein que vocês não se organizem hein então nem aí né que coisa é isso é palhaçada sua não é palhaçada precisa estar ajeitando as vezes a gente tá no shopping rapaz vocês vão ao banheiro quando sai sai todo bagunçado é quem gosta Ai gosta de fazer isso mas não tem vergonha não bicho eu não tenho nada e você não tenho vergonha tem mamãe para ajeitar né Você quer que eu suporte de tudo né;TEA;https://www.instagram.com/reel/C6fO5FfLmED/?igsh=MXAyOHJsejdncGZodg==;Experiência Pessoal
1;encher as garrafas eu não posso Pois é meu filho tem três é porque não sei eu fico eu senta aí cocô errado tem um problema de coluna não dá para eu ficar sentado mas eu nunca vi você se queixar de coluna dor na coluna você tem é muita preguiça de encher as garrafas d'água né que coisa feia agora para beber Você bebe todo todo toda vez que você quer tomar não sei o meu problema é essa coluna aqui é essa coluna aqui eu não acho todo dia eu fico fica com preguiça diga assim que coisa feia você já não faz quase nada um em cima tá bom assim;TEA;https://www.instagram.com/reel/C62Nj8BxD3W/?igsh=MXVjcWtqZmN6MnRuOQ==;Experiência Pessoal
2;hoje é o dia mundial da conscientização do autismo então feliz dia para aqueles que têm hipersensibilidade auditiva para aqueles que perdem minutos de uma refeição só separando aquilo que não gosta de comer para aqueles que têm performances específicos em coisas específicas para aqueles que precisam sempre de um ritual diário para se manter regulado para aqueles que não conseguem socializar não importa o quanto eles tentem e para aquelas pérolas que acabam falando que pensam sem medir as consequências e também para aqueles que nem sempre conseguem se comunicar da forma que deseja de 9:30 da noite de hoje eu farei uma live com a minha mãe na plataforma que começa com o tempo tira muitas dúvidas sobre autismo e se você tem interesse de conversar com a gente diretamente e já corre na Live E mais uma vez feliz dia para todos;TEA;https://www.instagram.com/reel/C5RReZ9rzRm/?igsh=MTJkM21teXc5dDU3eg==;Útil
3;droga;TEA;https://www.instagram.com/reel/C6bnmfVuhHX/?igsh=MTI1c2Z5bzBoZDYydw==;Experiência Pessoal
4;cientista elaborado sistema comum mas que normalmente Por que estamos sendo a era dele acertar Senhor da palavra simplista também conhecida como pau grande e tem Golias Sanhaço isso para mim notícias na forma diferente de verdade do mundo e praticamente tem sentido e vai chegando não apareceu na frente impressora homens;TEA;https://www.instagram.com/reel/C5Q3IUtLmLz/?igsh=b2hvaThvdDh6ZXI0;EXCLUÍDO (Espanhol)
5;consultar esse balãozinho de Deus ele vai ficar bem por causa que o papai do céu vai achar ele vai encontrar o papai do céu e diz assim papai do céu o Lucas me soltou para para ser libertado Tudo bem eu vou fazer igual um orçamento de foguete idiota três dois um um episódio louca olha vai estourar Eita foi para cá eita meu Deus Caraca tchau tchau avião mas tá muito longe né nossa ele vem levado pelo vento né ele vai ficar bem ele tá com a sacolinha né Essa galinha foi embora também né vovó aquela figurinha era a sua foi bem mais alto né;TEA;https://www.instagram.com/reel/C6ICcZuoB68/?igsh=dGRobTl1ZnRuenow;Experiência Pessoal
6;olha só os meus irmãos autistas brigando por causa de um ovo só dá uma olhada aqui nesse outro mano tira a mão no meu olho a pessoa comendo tu vai mete a mão então é mal educada mamãe ensina a educação para essa menina Eita vai chorar é pois chore chore aí sabe o que acontece Pedro é que eu tô com um pouquinho de fome sabe eu tô ligado Pois é já saquei Já já esse pedaço aqui eu não quero não aí tu como é esse pedaço aí tá pronto virei lixeira de Manu Vê se pode um negócio desse minha dignidade fica aonde esse esse feminismo É eu gosto dessa parte aqui amarela do ovo entendeu eu gosto ela é mais macia assim para mim tem mais gosto entendeu você ouve aqui tá muito bom aí Tá bom então deixa eu provar aqui o meu tu também comente Pitaco tu vai perder ó como é que come é um mordidão entendeu para aí você come come direito né mamãe não é assim eu não sei o que que tu tá pensando aí mas na minha cabeça esse ovo aqui é meu entendeu eu declarei quando ele já tava na frigideira que ele era meu minha irmã Desencana do meu ovo Bicha chata da mulher pronto aí ó não quero mais tá todo babado esse ovo aqui também não quero não consigo sempre tudo que eu quero olha só comi o meu ovo inteiro ai já comigo nos ovos dos outros aí quando faz o ovo dela ela não quer fica aí tomando o ovo dos outros como se estivesse autoridade para fazer isso comentando eu arreguei agora mas já vou dizendo que a próxima comida que aparecer aqui eu vou comer ela inteira viu mamãe tá ouvindo mamãe;TEA;https://www.instagram.com/reel/C6UKMyMrKMg/?igsh=d3FkZnJveTloOThi;Experiência Pessoal
7;meu filho tem 4 anos autista nível 3 e o Gabriel eu moro na barriga até hoje eu não consigo encontrar tratamento para ele graças a Deus ele está na escola estadual amante que tem um assistente que ajudaram que se chama Cris e nem plano de saúde que graças a Deus hoje eu recebo o dinheiro dele há dois meses e eu consigo fazer para ter terapia e ele piora e eu vou junto com ele vou ajudar tá Que luz velho Muito obrigado;TEA;https://www.instagram.com/reel/C5hJas8pOxF/?igsh=dHgzeHlncDRuZnFy;Experiência Pessoal
8;eu sou autista eu coloquei meu nome Clara carro por causa do carro e não sumiu sabe se eu sou a Clara por causa do carro Renault Sandero que é meu maior impressão eu desista e é óbvio porque eu amo ouvir na escola porque eu sei que na ilha Na volta eu vou ver Várias escolas que é meu maior importância;TEA;https://www.instagram.com/reel/C6JPQOcuevI/?igsh=OGtqbXd3bjI3Zzlp;Experiência Pessoal
9;sinais de autismo em adultos ter poucos amigos ou nenhum não gostar de receber visita preferi ficar em casa do que sair nervosismo quando precisa conversar com alguém que não tem intimidade ou para fazer ligações ser resistente a mudança e ter padrões rígidos de comportamento de pensamento preferir trabalhar sozinho do que em equipe sentir desconforto ao fazer contato visual desconforto com barulhos lugares muito agitados e pessoas falando ao mesmo tempo esgotamento depois de interações sociais ensaiar ou fazer scripts mentais do que vai falar quando for interagir socialmente desconforto com luzes muito fortes cheiros texturas de roupas e etiquetas e irritabilidade sem motivo aparente dificuldade para dormir com claridade e distúrbios do sono e aí se identificou com quantos me conta nos comentários e não esquece de ler a legenda;TEA;https://www.instagram.com/reel/C54ePPktUYC/?igsh=YTF3ZHZ4amF3YW5h;Enganoso
