ID,Transcription,Tag,Link
0,tá chorando não graças a Deus presta atenção no que eu vou falar dá a mão para o tio Paulo olha nos meus olhos presta atenção você não precisa ter medo combinado olha para mim que eu tô falando olha para mim partiu Paulo é seu ah amigão e aí como você não tem medo o Tio Paulo vai fazer uma mágica tá bom combinado foi o braço para frente assim ó ó olha que legal olha o que eu vou fazer ó ó olha o brilho do Papai Noel Ó você só vai sair daqui a hora que você tiver parando de chorar já parou já parou já tá mais calmo Tá mais calmo respira de novo tá cheio de brilho cara sua criança que não chora fica assim bate aqui bate aqui respira comigo ó meu Deus quem foi que limpou essa boca para ficar cheirosa Olha que sorriso que sorriso espontâneo menino não é não,TEA,https://www.instagram.com/reel/DEC_P22xIEX/?igsh=MWJ2aHZrMGZoN2t2MQ==
1,quem é você eu sou minguado daqui por que seu cabelo tá eu acho engraçado ok foi quando eu dei uma espadada nele Ah então toma outra,TEA,https://www.instagram.com/reel/DHQS0KDOXTT/?igsh=M2lwczZ5ZzdvaHQ=
2,a mãe do autista nível 1 é a que mais sofre preconceito autista nível 1 normalmente brinca sorrir e fala as pessoas olham para ela e não identifica nada de imediato até porque muitas vezes a criança parece ser perfeitamente funcional e muitas vezes a mãe Escuta assim essa mãe tá doida ela tá procurando coisa onde não tem chi tá querendo dar desculpa para malcriação do seu filho e o que muitas vezes as pessoas não veem é não ter filtro social dificuldade de interação seletividade alimentar e rigidez cognitiva e todas essas questões somadas no cotidiano não só atrapalham como também prejudica a qualidade de vida da criança e de quem cuida dela me siga me chamam Priscila Basile e traga o conteúdo sobre educação inclusiva,TEA,https://www.instagram.com/reel/DH4IbMzBDAE/?igsh=b2FyaHRnbnNjZTVr
4,desde pequena no campeonato também nessa Maravilha sem querer teu quando eu tenho medo eu tô num movimento essa característica no passado direto na sociedade o motor seria o seguinte os programas para praticar essa felicidade nessa,TEA,https://www.instagram.com/reel/DHn--c3RrRT/?igsh=aGFwNnV6ZzU4Nmg2
6,eu não escolhi foi Deus que me deu um filho autista o que precisa ser curado não é o autista que precisa ser curado é o seu preconceito para ter inclusão não precisa entender de autismo Quando você vê uma criança tendo dificuldade na igreja não avalia animal se tiver algum comportamento estranho não queira colocar a mão querer repreender achando que é um demônio de repente é uma maldição que essa família está carregando por isso hoje ela está tendo um filho autista para de querer espiritualizar as coisas demais que pra ter inclusão às vezes essa mãe não precisa você chegar nela e tentar ensinar faça isso caminha esse de repente essa família só está precisando ser abraçado para ter inclusão não precisa saber que é autismo para ter inclusão é só compreender ter paciência e aceitar o melhor médico a melhor profissional psicóloga o neuropediatra melhor professora é a sua casa se ele ter dificuldade lá fora lute batalha não esconda ele o Jackson filho ele ama estar no meio dos instrumentos musicais ele coloca a mãozinha no ouvido e algumas pessoas acham mas acho que o som tá muito alto para ele ele não se deixar ele entra debaixo do prato da bateria isso é inclusão é não esconder quanto mais você falar desse assunto mais você vai ser curado não tenha vergonha a gente já levou ele quantas vezes no parque uma criancinha Menorzinha que ele falar qual o nome dele é Jackson é eu tô chamando ele ele não quer falar comigo ele não gostou de mim é difícil você responder essa pergunta machuca dói porque muitas frustrações de buscar ele na escola por exemplo de ver os pais e aí filho tudo bem traga aqui e o que que você fez hoje Pai a gente brincou fez um monte de coisa vocês tão legal e o filho vai compartilhando entra no carro vamos compartilhar com seu filho pensa num negocinho lá do álcool que é o costume dele ele sai E aí filho como é que foi ele não fala nada ele entra no carro gostoso filho tá tudo bem ele não fala nada,TEA,https://www.instagram.com/reel/DG88jatS2cD/?igsh=MXhndHQzeGZrNXUybQ==
8,Por que é tão difícil na escola eu tento mas quando tudo fica barulhento é como se meu corpo quisesse fugir quando eu me Agito acham que sou malcriado mas ninguém vê que é só o meu jeito de pedir ajuda eu só queria um cantinho calmo onde pudesse respirar uma professora que perguntasse tá tudo bem antes de me mandar para fora queria que entendessem que eu não sou um perigo só estou sobrecarregado Minha mãe disse que eu sou inteligente só penso diferente e às vezes eu queria que ela estivesse na escola para explicar com aquele jeitinho dela que o meu silêncio também é resposta que minha agitação é medo e meu olhar no vazio é só uma tentativa de me proteger se ao menos ouvissem como ela ouve se ao menos vissem como ela me ver filho você não é o problema o problema é um sistema que ainda não aprendeu a escutar você sente o mundo mais fundo mais forte mais rápido isso não é falha isso é sensibilidade é potência você não precisa se encaixar em uma forma feita para te apertar o que precisa mudar não é você é o ambiente a escola precisa ser um lugar de segurança não de sobrevivência O que adianta colocar o autista dentro da sala de aula Se ninguém sabe o que fazer quando ele precisa de ajuda a escola diz que é inclusiva mas na hora da crise só tem grito castigo ou Exclusão o barulho machuca a luz forte atrapalha a falta de rotina gera Pânico e o menino que explode só tá pedindo socorro o que ele precisava era de um cantinho calmo um fone de ouvido uma professora preparada Mas o que ele encontra julgamento tem mais de 900.000 autistas nas escolas e quase nenhum protocolo para colher de verdade A criança precisa estudar Sim mas precisa de paz de respeito de segurança e os professores precisam de Formação precisam aprender a lidar com o diferente não apagar inclusão de verdade preparar a escola não forçar a criança se você é mãe pai ou educador Levante essa bandeira com a gente porque nenhum aluno deveria passar por dor para poder aprender se você é mãe pai educador ou já presenciou algo parecido comente aqui com a frase eles só querem ser compreendido isso ajuda a mostrar que tem muita gente acordando curta compartilhe e se essa mensagem tocou o seu coração obrigado por ouvir com a alma agora vamos fazer essa conversa chegar onde ela precisa nas escola e só para te lembrar que temos vários e-books para que possamos entender melhor é só clicar no link da Bio obrigado,TEA,https://www.instagram.com/reel/DJpfJ8wyRWL/?igsh=MWpuamt5cTF2MHM1dg==
11,Oi gente Gabi me trouxe hoje aqui para falar como é que esse suporte de uma pessoa autista Tem suporte de uma pessoa autista não é só estar presente mas é também tentar entender o mundo completamente diferente essa pessoa precisa ajudar a gerenciar ali a sobrecarga sensorial na verdade esses dias atrás ela também teve uma crise muito forte não sei se você vai falar sobre isso que é falar sobre isso mas eu tive que buscar lá no trabalho dela E aí eu já sei que ela fica ela fica fazendo assim ou com ela tá com tempo prisão ela já faz assim se aperta muito e aí tem que chegar e tem que apertar mesmo então tem que pegar e apertar muito ela assim abraçar e quando a gente tá em casa muitas vezes é até caso dela e eu vim com o meu peso e deitar sobre ela então ele corta com costas e apoio nela para que ela consiga realmente parar de treinar esse negócio daquele ambiente de causar as coisas e também já consigo perceber a gente saiu esses dias atrás aí colocando uma musiquinha ao vivo com calma aí eu falei vai querer ficar aqui tem certeza mas eu já sabia que ainda que ela não desregula se ali eu já sabia que ela ia querer entrar no carro ou chegar em casa e ficar em silêncio isso é legal o fato da pessoa é conhecer você ser seu suporte não quer essa noção e falar assim vai conseguir ficar aqui já é um conforto assim de tem alguém que não tem outro fato super importante porque eu acho que é uma das coisas que estão mais fáceis é facilitar a interação social conseguir puxar a conversa conseguir me colocar ali na conversa e me ajudar para pedir alguma coisa enfim de frente para eu entender como eu tenho que completar é quem vai estar lá como que vai ser engraçado assim a gente tá sentado aqui do lado direito às vezes eu consigo fazer pedido direto mas a maioria e principalmente de dar segurança no momento de crise entender que essas diferenças elas não são frescuras para uma questão neurológica aqui eu já melhorei muito né muitas coisas assim eu melhorei muito com medicação e nem sempre né existe em todos os contextos mas quando você experiência para a gente saber,TEA,https://www.instagram.com/reel/DIbiwCmxDr1/?igsh=MWlvaTZwNmkxMTZubQ==
14,nunca teste perguntado porque ele é especialista querendo nosso corpo com autismo infantil norteia mencionado o que ele causa dele as estrelas tipo Essas são sistema nervoso em desequilíbrio quer ser a Polônia intoxicação da metade das pessoas poder parasitoses podem ter um alimento ao coração aquecido Por que nota disso em que ele assiste TV segundo a forma que e os time para reconhecer olha os movimentos simultâneos se apoiando através de problema e não guarda isso também fica na língua,TEA,https://www.instagram.com/reel/DGvh1H-xo8Q/?igsh=MTAyMDZyZHkxb3MweQ==
15,Fênix tênis autismo Ilha sentinela papai,TEA,https://www.instagram.com/reel/DCewSrQRhuc/?igsh=MThvaWswaW1ncHkwbQ==
20,minha noiva autista discutindo com relaxe pela última vez toca música Quase Sem Querer Alexia não é essa música chato Alexa eu vou te devolver para Amazônia mas eu sei como que eu posso que eu vou te ensinar Alexa que eu vou te enfiar numa caixa ponhar no correio minha filha Alex você é burra gente é surda Alexa Você é surda pelo jeito Alex você é mal educada eu tenho alguns feedbacks negativos que você não me escuta que você não me obedece que eu peço a música você não toca e ainda está me ignorando Alexia feedback negativo que você é péssima horrível que eu peço um negócio nunca me escutou desde o primeiro dia Valeu por me avisar debochado não aguento velho não aguenta tá enjoada aí todo mundo dançando é porque você não tem o plano amor que tem que apagar você faz,TEA,https://www.instagram.com/reel/DIAIEFpxXeS/?igsh=MWVzYmd1NWplcXFkZw==
