ID,Transcription,tag,Link
0,só quem tem o transtorno de ansiedade sabe o que é esse sofrimento é muito difícil alguém que nunca teve uma crise de ansiedade entender o que passa na cabeça de uma pessoa ansiosa se a pessoa nunca sentiu uma falta de ar uma dor no peito uma angústia Sem Explicação vontade de chorar se a pessoa nunca se sentiu tão mal ao ponto de achar que ela vai morrer ali naquela hora é muito difícil é muito difícil para quem Nunca experimentou isso entender Até para o terapeuta é difícil entender se ele não tiver passado pelo problema porque um terapeuta ele pode até estudar sintomatologia ou seja ele pode entender conceitualmente os sintomas Mas o que ele tem é o domínio técnico e as narrativas mas as narrativas das pessoas ansiosas elas são muito confusas elas mesmas têm dificuldade de explicar o que elas sentem o que elas sofrem inclusive é nessa confusão é por essa dificuldade de falar sobre o que sente que aparecem os leigos ignorantes com preconceitos um julgamentos equivocados com diagnósticos de botequim a ansiedade não é frescura como os leigos falam ansiedade é coisa séria e a pessoa que sofre com ansiedade ela também precisa ser levada a sério,ansiedade,https://www.instagram.com/reel/C8sfLySunE9/?igsh=MXU5bTZ6b2dwcGM1dQ==
1,Nossa mas ele é um cara tão legal todo mundo gosta dele aqui dentro de casa ele ele é tão ríspido ele é tão grosseiro ele é tão diferente ele me maltrata ué é uma característica é como se na rua ele vivesse um personagem do cara legal em casa é outra pessoa é quem ele é de verdade por quê Porque ele quer que as pessoas gostem dele ele quer que as pessoas eu admira pela beleza pela inteligência pelo dinheiro né alguns que tem dinheiro pagam tudo é aquele cara legal que ajuda as pessoas mas na verdade isso é um personagem e geralmente eles são viciados em sedução porque é uma forma né é seduzem mulheres o tempo inteiro aquele galanteador que é luz desde a pessoa que ele encontra né na padaria até a sua amiga amiga da mulher,ansiedade,https://www.instagram.com/reel/C8AqzeZS-yq/?igsh=MTVwdTZoMDd5ODhsMw==
2,E aí Simone qual vai ser a nota de Simone biles por enquanto na liderança Rebeca Andrade 14.166 ela sabe que não foi a melhor das apresentações Rebeca Andrade por enquanto na liderança esperando a nota de Simone Barros 14 166 é a nota da Rebeca ainda tem competição pela frente mas eu tô tentando segurar aqui quero acreditar que sim gente por favor melhor ainda 14 133 ela vai pra segunda meu Deus do céu primeira colocada Rebeca a medalha já está garantida,ansiedade,https://www.instagram.com/reel/C-TzZx_P3j2/?igsh=bzU1ZzczM3ltOTc0
5,a mente e o espírito o corpo um deprimido por exemplo não dorme ou então ele tem a insônia da depressão Qual a insônia da depressão cara deita e dorme porque tá Exausta aí entre 3 e 4 horas da manhã ele acorda sem despertador sem nada ele faz pum aí você fala o que que ouve aí ele volta a ter sono lá para as 5:06 por quê entre 3 e 4 seria o auge da produção de serotonina da pessoa de melatonina natural como deprimido produz mal essas coisas o que que acontece ele acorda como se fosse um despertador como se fosse um espírito porque ele faz assim tum sabe o olhão aí ele fala aí ele olha o relógio não mas ainda é cedo aí ele fica para lá e para cá ansioso puro sem depressão Ele tem dificuldade de pegar no,ansiedade,https://www.instagram.com/reel/C8J7WmOO1qO/?igsh=MTZzNmYycHNkemphYQ==
9,esquece beijo narcisistas não gostam de beijar quero demonstração de afeto de carinho de conexão não espere de um narcisista que narcisistas não se conectam você entrou no ciclo de abuso narcisista talvez você fique muito tempo pensando se existe alguma coisa errada com você mas não no começo não Love bomba em uns beijos existiam se você for parar para olhar eles eram mecânicos também narcisista finge uma conexão quando você já está suficientemente enredo quando você já tá completamente dependente E você já passa a acreditar que você não pode mais viver sem essa pessoa não precisa mais fazer isso beijos deixam de existir só voltam a aparecer quando você está quase Escapando do ciclo mas mesmo assim é um farelinho de Love Bomb só o suficiente pra você acreditar que as coisas podem voltar a ser como antes vocês nunca voltam existe um certo sadismo aí também que você começa a se esforçar tanto para que isso aconteça ser amado amada de novo não seja rejeitado a dormir abraçado narcisista se deleita com esse teu esforço narcisista não se conectam e sabem que você faz um esforço tremendo para manter uma conexão que você acredita que existe talvez você passa a acreditar que é o jeito dele é o jeito dela se conformar com essa ausência de afeto infelizmente é muito mais fácil a gente inventar para a gente mesmo uma história que convença que a gente se dá conta que a gente está do lado de uma pessoa que nunca se conectou,ansiedade,https://www.instagram.com/reel/C7ZsTdUurvE/?igsh=MXFybzhld2x0dWtjNA==
10,a pessoa que tá no nível patológico de ansiedade muitas vezes ela ela não tem controle sobre a doença ela não decide quando sente ou não sente os sintomas porque muitos dos mecanismos que disparam os sintomas e as crises de ansiedade as crises de pânico são mecanismos automáticos basta um pequeno gatilho que podem ser várias coisas um evento externo por exemplo um susto um medo de uma viagem um medo de uma prova é o Medo da rejeição alguém que não respondeu no WhatsApp esse gatilho pode ser um evento Interno também um ataque cardíaco por causa de um alimento que a pessoa ingeriu ou um esforço que ela fez uma falta de ar Sem Explicação e basta que um desses pequenos gatilhos aconteça para disparar todo o sistema de pânico da pessoa o sistema de luta e fuga que a gente chama né aí ela entra em desespero ela acha que vai morrer que vai ficar só que tá tudo perdido que tudo vai dar errado porque a mente ansiosa ela tem isso ela sempre considera o pior cenário possível ela é catastrófica essa pessoa ela precisa de ajuda profissional sistemática metodológica prática ela não precisa de alguém dizendo que isso é só uma coisa da cabeça dela ou que é só frescura,ansiedade,https://www.instagram.com/reel/C-Q0vUjukSK/?igsh=MXVnbWtsd3ZuajRudA==
13,sofrer com ansiedade é ter muito para falar mas muitas vezes não não saber como falar porque os pensamentos ficam confusos é viver com desconforto provocado por vários sintomas físicos é viver com medo do próprio medo medo de sentir uma nova crise E ainda ter que ouvir pessoas dizerem que é frescura que é só uma coisa da cabeça como como se uma coisa da cabeça não fosse real ou não precisasse de uma atenção especial a pessoa ansiosa ainda Costuma se sentir muito só porque parece que ninguém entende o que ela sente e é mesmo Difícil Explicar com palavras né então é muito comum que a pessoa queira ficar mais isolada passe a não querer compartilhar o que está sentindo com as pessoas mais próximas mas o transtorno de ansiedade tem cura tá com a ajuda certa é possível sair desse sofrimento e restabelecer a saúde mental,ansiedade,https://www.instagram.com/reel/C8738nkOaqj/?igsh=MWIzaTY1OWtxcnB2Zg==
18,eu já tô já agora preocupada e não tá feliz daqui a pouco quer dizer já não tô feliz agora já transformei o meu agora com drama eu sempre tentar ansiosa assim gente qual é a sensação de uma pessoa que é meio ansiosa Como é que deve ser,ansiedade,https://www.instagram.com/reel/C9zPFORirqt/?igsh=OW5uZmM5NmptOWIw
20,a depressão é muito cruel quanto mais passa o tempo mais se agravam os sintomas e ela vai se tornando quase que Irreversível sugerimos que como mãe Ore com ela pegou o evangelho de Jesus de acordo com sua religião pegue o evangelho ou um outro livro Leia converse a rã do esse mesmo momento retira de ficar no canto de isolar-se é simula a fazer alguma coisa em casa o trabalho doméstico há tantos amores psiquiatra muito querido Milton Ericsson sugere que a pessoa transpira Isto é trabalhe ao trabalhar fisicamente transpirar ela melhora porque elimina as toxinas mentais ele recomenda também caminhadas fazer uma caminhada ao lado de alguém conversando vale mais do que uma drágea de medica,ansiedade,https://www.instagram.com/reel/C92m2WHgmdW/?igsh=c2p6eW5zOTV5bmN1
25,Algumas pessoas dizem que a ansiedade é falta de Deus e Geralmente as pessoas que pensam assim elas vivem é um espiritualidade muito superficial elas não conseguem enxergar para além do teto da igreja delas elas estão presas nos elementos mais superficiais da religião por exemplo essas pessoas elas não sabem a diferença entre o mal natural e o mal preternatural na verdade elas não sabem o que é isso é óbvio que a ansiedade não necessariamente é falta de Deus tem uma passagem ali na Bíblia em João que é muito interessante os discípulos Eles veem um cego de nascença e naquela época O Judeu era também muito religioso mais superficial no espírito eles pensavam assim o sofrimento é do capeta e a coisa boa é de Deus então eles Eles olham para que eles cego de nascença e pensam Isso é falta de Deus que é horrível né Essa pessoa é cega por causa do pecado porque ela tá distante de Deus tanto que eles perguntam ao Cristo senhor mestre Quem pecou para que esse homem seja assim ele ou os pais dele ele sabe qual foi a resposta de Jesus nem ele nem os pais dele isso aconteceu para que o propósito de Deus se manifestasse na vida dele nem todo sofrimento é obra do inimigo de Deus às vezes Deus mesmo estando muito próximo permite que aconteça algumas circunstâncias ruins para que o propósito dele se revele nas nossas vidas e o propósito dele é sempre bom mesmo que haja sofrimento ansiedade não é pecado,ansiedade,https://www.instagram.com/reel/C90l79PBasu/?igsh=Z2R1a3RtMjh3YjM5
