ID,Transcription,Tag,Link,Views
0,sintomas estudos mostram aí que a pessoa que tem borderline ela tem ela sente quatro vezes mais intensamente Nada que uma pessoa que não tem o transistor Imagina assim a pior dor do pior sofrimento da vida até agora quando você teve mais sentiu mais tristeza pessoa que tem bordar ela sente quatro vezes isso córtex pré-frontal a partezinha da frente do nosso cérebro né que ele é responsável pelo filtro das emoções então assim tudo que você tem de informação na forma como você se relaciona com o ambiente o corte precisa de fazer esse filtro amigo dele é como se fosse nosso sistema de alerta né Então tá muito ligado a situações de medo não borderline esse corte aqui para frontal Ele é bem Inativo é quase é disfuncional ali então ele tem um filtro baixo como se fosse uma peneira grande né então passa muita coisa ali amigo né que é responsável por analisar essas questões de alerta né Muito ligado ao medo ela é hiperativa então é muito ativa tá sempre Alerta procurando alguma coisa como se estivesse sempre presta acontecer alguma coisa errada então ela ativa muito medo não borderline qualquer emoção por borderline ela é potencializada então os estudos mostram aí que a pessoa que tem borderline ela tem ela sente quatro vezes mais intensamente nada com uma pessoa que não tem o transtorno pior sofrimento da vida até agora quando você teve mais sentido mais tristeza a pessoa tem borderline ela sente quatro vezes isso,borderline,https://www.instagram.com/reel/DM_NkH9yetS/?igsh=c2IwODF3ZGViZ2Zr,143904
9,"Como funciona o transtorno borderline explicado por Patos o patinho sente tudo forte demais tudo ao mesmo tempo sem filtro uma palavra doce o patinho flutua um olhar estranho o patinho afunda ele teme ser abandonado mesmo quando dizem que vão ficar ama com todas as penas mas teme ainda mais com o peito mensagem visualizada e não respondida o patinho já acredita que perdeu tudo ele diz estou bem mas por dentro o coração está se partindo em cinco direções vai de você é perfeito para você vai me deixar né em 2,3 segundos Não é drama não é manipulação é medo o patinho não entende quem ele é o tempo todo hoje se sente Invencível amanhã um fiapo molhado na beira do lago ele empurra quem ama e depois implora para não ser deixado se sente esquecido Por coisas pequenas mas não quer confusão quer segurança o patinho não quer testar só quer saber se vai ser amado mesmo nos dias em que nem ele consegue se amar é cansativo sim mas o patinho ainda tenta tenta amar tenta melhorar por favor seja Gentil o coração do patinho não está quebrado só faz muito barulho",borderline,https://www.instagram.com/reel/DO7AqTcjKpV/?igsh=aGZoMWwzbnh5cXhh,239678
12,ó quando você pensar em borderline você não vai lembrar mais de impulsividade oscilação de humor claro que quem tem um funcionamento borderline pode ter isso porque é uma pessoa que tem dificuldade de regular as próprias emoções só que tem quatro elementos que são mais específicos de borderline se a pessoa não tiver nenhum deles é melhor considerar alto que é primeiro medo de abandono super importante distúrbio de identidade uma falta de identidade própria automutilação a pessoa que se machuca para regular as emoções e dissociações episódios dissociativos que essas quatro coisas têm em comum elas são relacionadas a processos traumáticos que é o elemento mais marcante na história do borderline Agora presta atenção no que eu vou te falar principalmente se você é psicólogo algum profissional da área se a pessoa tiver qualquer um desses elementos que eu falei tiver qualquer um desses sintomas isso jamais vai excluir o diagnóstico de transtorno bipolar se a pessoa tem bipolaridade na família e períodos de agitação psicomotora Não é para ter dúvida o transtorno bipolar ele é o mais importante na hierarquia de Diagnósticos da psiquiatria quase ninguém fala de hierarquia de Diagnósticos é por isso que tem tanta confusão mas é um assunto que eu gosto muito e se vocês pedirem aqui embaixo eu faço um vídeo só sobre,borderline,https://www.instagram.com/reel/C4irAgDuF11/?igsh=OGExdmJ1YjllYWFq,929565
16,detalhes que entregam borderline em segundos o último quase ninguém conhece primeiro memória que fixa palavras ruins ou neutras Lucas boas e esse padrão aparece de forma consistente em estudos cognitivos segundo micro expressões de medo em rostos neutros câmeras de alta velocidade conseguiram mostrar isso o terceiro é gestos repetitivos poema cutuca pele ficar batendo pé sem parar quarto recuo corporal automático durante interações sociais ele tende a manter uma certa distância mesmo que nem perceba e finalmente o quinto que a sensação de vibração fantasma fala se não aconteceu já o aparelho fibra Você tem certeza vai lá e não tem nada isso se repete em muitos pacientes Não é fácil mesmo captar as palavras neutras e ruins enquanto as coisas boas parece que esses vai assim nem se afastar de alguém sem notar mas a do celular cai entre nós Já rolou não rolou qual desses aqui Você já percebeu no seu dia a dia deixa nos comentários,borderline,https://www.instagram.com/reel/DN9REsYjlBi/?igsh=bTNkYXpienEzMnVn,35247
19,transtorno underline a gente tem que entender que antes de ser um transtorno é uma personalidade por isso transtorno de personalidade então é uma maneira de ser uma maneira da pessoa viver no mundo e aí a gente vai ter os sintomas a gente pudesse definir em quatro grandes sintomas seria instabilidade de humor ou seja essas pessoas variam humor muito facilmente outra coisa também é auto percepção o borda esse alto percebe extremamente inferiorizado ele se vê sempre pior do que o outro tanto que a busca do Border é sempre buscar alguém que possa validá-lo como pessoa e por isso surge a dependência afetiva uma outra característica muito interessante é impulsividade essa impulsividade é sem pensar a pessoa age isso pode ser para discussões comportamentos impulsivos sem pensar a pessoa fala o que não deve ou dirige perigosamente ou abusa de drogas ou até impulsivamente machuca os outros ou se machuca também e a quarta característica que é muito importante é a característica dos relacionamentos íntimos porque ele dependendo dessas pessoas para se validar ela ou ele acabam dependendo dessa pessoa e querendo o tempo todo ele controle dessa pessoa com medo absoluto da perna a gente fala desses quatro mas a gente tem muito mais sintomas a gente tem por exemplo uma incapacidade de lidar com frustração a gente tem auto mutilação pessoas que se machucam a gente tem ataques de Fúria,borderline,https://www.instagram.com/reel/DLqbaM9vzPV/?igsh=aTE3N3RmcWQ5bzVh,161081
20,três coisas que todo borderline deveria evitar segundo a neurociência e a segunda coisa vai surpreender eu sou Mateus especialista em borderline e aqui nesse perfil você vai ver muito conteúdo sobre borderline e ciência Então já aproveita e me segue número 1 privação do Sono ficar sem dormir e desregula miga aquela parte do cérebro que já reage forte demais emoções ainda mais explosivas e menos controle sobre impulso 2 isolamento social cérebro de quem tem borderline precisa de conexões para se estabilizar quando você se isola a dor emocional aumenta e o circuito de recompensa se desorganiza três ambientes imprevisíveis viver em um caos constante mantém o cérebro em estado de alerta É como esse sistema de ameaça nunca desligar tudo humor energia vínculos você não é uma pessoa fraca é o cérebro é que está sobrecarregado Agora me conta nos comentários qual desses três te afeta mais dá uma olhadinha na legenda do perfil que eu tenho um convite especial para te fazer,borderline,https://www.instagram.com/reel/DIfEU6EzyYV/?igsh=MTVwbmNpajRpdzNxeg==,769540
37,coisas que eu achava normal mas na verdade era transtorno de personalidade borderline o sempre mudei de humor o tempo todo e não tô falando por exemplo ai tô triste depois tô feliz não era tipo assim triste feliz triste triste feliz feliz muito triste muito feliz meu Deus eu amo a vida meu Deus eu quero ir era assim o tempo todo eu achava que todo mundo era assim eu achava também que era hormônios da adolescência eu amava muito uma coisa depois Eu odiava completamente em questão de dias isso era com namorados com comidas com qualquer coisa e quem mais sofria era a pessoa que tava se relacionando comigo porque como que eu vou explicar para ela que um dia eu gostava muito dela no outro dia eu não queria nem ver ela na minha frente e era real eu sentia isso e depois às vezes passou esse ódio no outro dia eu já gostava da pessoa de novo eu tenho dó de quem me conheceu na adolescência de verdade eu sinto muito achava que todo mundo surtava de raiva e que era uma coisa normal só que meus surtos de raiva Era por pequenas coisas coisas coisas coisas coisas que não precisava surtar tão fortemente sair quebrando as coisas por aí jogando coisa nos outros eu já briguei com a minha mãe assim por coisas pequenas e eu jogava as coisas nela gente porque o quebrar a primeira coisa que tinha na minha frente o que tivesse ali para quê né ciúmes doentio ciúmes doentio gente hoje eu falo porque hoje eu tô de boa graças a Deus porque eu era uma pessoa insuportável eu era aquela pessoa assim que a pessoa que eu tô namorando não podia nem seguir ninguém no Instagram que eu já ia saber que eu sabia o número que tinha lá eu sabia quem era o último eu sabia tudo eu era maluca e tipo assim seguiu alguém que eu não gosto acabou os ciúmes era uma coisa de louco de louco assim Acho que era um dos meus piores aspectos de se relacionar comigo é esses filmes doente não podia fazer nada que não envolvesse eu que já era tipo ah eu quero terminar,borderline,https://www.instagram.com/reel/DNbNhCEPWjR/?igsh=MWoxZnd5cnlsYnQ0cQ==,132026
40,Você sabia que o borderline começa a se formar antes mesmo de você perceber os sintomas Pois é Vem comigo que eu te explico borderline muitas vezes vende um combo poderoso ambiente emocionais instáveis mais um cérebro que já vem mais sensível ao estresse e isso não vem só dos Pais pode ser também viver num lugar onde ninguém fala sobre sentimentos ou onde sentir é tratado como fraqueza passar por bullying constante aprendendo que ser você é errado crescer cercado por brigas gritos ou violência doméstica mesmo que não fosse com você ser forçado amadurecer cedo demais cuidar de irmãos pais doentes ou emocionalmente ausentes sofrer com mudanças frequentes de cidades escolas cuidadores sem nunca se sentir seguro ou simplesmente ser ignorado emocionalmente como se as suas dores fossem visíveis esses ambientes não deixam marca só na memória ele muda a forma como o seu cérebro entende o mundo e reage as emoções estudos mostram pessoas com borderline tem amigos para forte a qualquer sinal de ameaça emocional e o corte para frontal que deveria regular as emoções funciona com menos eficiência Além disso há alterações hormonais pessoas com borderline tendem a ter as funções no eixo hpa que regula o estresse produz mais cortisol normal isso afeta a memória a regulação emocional e até a confiança nos outros entender as raízes do transtorno o primeiro passo para quebrar esse ciclo e quando nos comentários Agora ficou mais claro pra você bota lá e não é só trauma tem também a questão biológica,borderline,https://www.instagram.com/reel/DO_88lREvb9/?igsh=d2cxMWNmYWU2OThy,20040
41,muita gente te cutuca cutuca até você estourar Mas não conta o que veio antes e isso é muito perigoso para quem vive com transtorno borderline uma coisa deliberar maldade e outra é ter uma explosão emocional Enquanto nas pessoas friamente calculadas as áreas da empatia ficam apagadas no borderline estão muito antigas gerando explosões emocionais imensas é impulso não plano entendeu diferente da manipulação planejada que tem um ganho instrumental borderline que a gente vê uma reação desesperada para manter vínculo então podemos juntar o caráter com o transtorno o caráter existe em todo mundo e suas alterações também isso não é diferente com quem tem borderline eles também são seres humanos se alguém faz algo cruel deliberadamente é uma questão do caráter não é do transtorno então dois circuitos diferentes tendência salva-vidas e evitem justiça,borderline,https://www.instagram.com/reel/DOuNKm9jJKK/?igsh=ano5bng3anUwajZu,11370
42,o meu cérebro simplesmente não sabe a diferença entre trauma e emoção toda vez que eu vivo alguma coisa muito emocionante tipo muito linda momento de muita felicidade eu apago eu apago naquele momento eu fico muito dissociada e teve várias vezes inclusive que eu fiquei assim no show falando tipo aí às vezes eu me belisco e tal enfim que ele realmente não consegue diferenciar Então se por acaso você me encontrar em algum lugar que eu deveria estar muito feliz e eu pareço estar muito infeliz sabe que na verdade eu tô feliz só que minha cabeça não tá entendendo minha cabeça não tá entendendo o que tá acontecendo e ela tá tipo completamente paralisa,borderline,https://www.instagram.com/reel/DPCb7LBEcsS/?igsh=MXh3ODJnbTZ3N25zeA==,32529
