Transcription,Classificação,augmentation_type,tokenized_words,removed_stopwords,tokenized_words_joined
o que você tá sentindo tão cedo eu tenho ansiedade,5,original,"['o', 'que', 'você', 'tá', 'sentindo', 'tão', 'cedo', 'eu', 'tenho', 'ansiedade']","['tá', 'sentindo', 'tão', 'cedo', 'ansiedade']",tá sentindo tão cedo ansiedade
domínio que você tá sentindo tão cedo eu tenho ansiedade,5,synonym_replacement,"['domínio', 'que', 'você', 'tá', 'sentindo', 'tão', 'cedo', 'eu', 'tenho', 'ansiedade']","['domínio', 'tá', 'sentindo', 'tão', 'cedo', 'ansiedade']",domínio tá sentindo tão cedo ansiedade
o que você tá sentindo tão cedo eu tenho tão ansiedade,5,random_insertion,"['o', 'que', 'você', 'tá', 'sentindo', 'tão', 'cedo', 'eu', 'tenho', 'tão', 'ansiedade']","['tá', 'sentindo', 'tão', 'cedo', 'tão', 'ansiedade']",tá sentindo tão cedo tão ansiedade
o que sentindo tá você tão cedo eu tenho ansiedade,5,random_swap,"['o', 'que', 'sentindo', 'tá', 'você', 'tão', 'cedo', 'eu', 'tenho', 'ansiedade']","['sentindo', 'tá', 'tão', 'cedo', 'ansiedade']",sentindo tá tão cedo ansiedade
o que você tá sentindo cedo eu tenho ansiedade,5,random_deletion,"['o', 'que', 'você', 'tá', 'sentindo', 'cedo', 'eu', 'tenho', 'ansiedade']","['tá', 'sentindo', 'cedo', 'ansiedade']",tá sentindo cedo ansiedade
Eu sempre me curei sozinho eu não tenho costume de falar para alguém eu não gosto de parecer Fraco mas também não quer dizer que eu seja forte eu sempre fui uma maior que todo mundo mais forte ou mais engraçado não tive tempo para cá eu tenho percebido que pessoa menos que todo mundo e eu não consigo me abrir para ninguém eu não consigo falar o que eu sinto você já veio muito tempo mas eu ainda consigo parecer forte não mudei com as outras pessoas eu só mostro minha fraqueza quando ela tá sozinha em casa,5,original,"['Eu', 'sempre', 'me', 'curei', 'sozinho', 'eu', 'não', 'tenho', 'costume', 'de', 'falar', 'para', 'alguém', 'eu', 'não', 'gosto', 'de', 'parecer', 'Fraco', 'mas', 'também', 'não', 'quer', 'dizer', 'que', 'eu', 'seja', 'forte', 'eu', 'sempre', 'fui', 'uma', 'maior', 'que', 'todo', 'mundo', 'mais', 'forte', 'ou', 'mais', 'engraçado', 'não', 'tive', 'tempo', 'para', 'cá', 'eu', 'tenho', 'percebido', 'que', 'pessoa', 'menos', 'que', 'todo', 'mundo', 'e', 'eu', 'não', 'consigo', 'me', 'abrir', 'para', 'ninguém', 'eu', 'não', 'consigo', 'falar', 'o', 'que', 'eu', 'sinto', 'você', 'já', 'veio', 'muito', 'tempo', 'mas', 'eu', 'ainda', 'consigo', 'parecer', 'forte', 'não', 'mudei', 'com', 'as', 'outras', 'pessoas', 'eu', 'só', 'mostro', 'minha', 'fraqueza', 'quando', 'ela', 'tá', 'sozinha', 'em', 'casa']","['sempre', 'curei', 'sozinho', 'costume', 'falar', 'alguém', 'gosto', 'parecer', 'Fraco', 'quer', 'dizer', 'forte', 'sempre', 'maior', 'todo', 'mundo', 'forte', 'engraçado', 'tempo', 'cá', 'percebido', 'pessoa', 'menos', 'todo', 'mundo', 'consigo', 'abrir', 'ninguém', 'consigo', 'falar', 'sinto', 'veio', 'tempo', 'ainda', 'consigo', 'parecer', 'forte', 'mudei', 'outras', 'pessoas', 'mostro', 'fraqueza', 'tá', 'sozinha', 'casa']",sempre curei sozinho costume falar alguém gosto parecer Fraco quer dizer forte sempre maior todo mundo forte engraçado tempo cá percebido pessoa menos todo mundo consigo abrir ninguém consigo falar sinto veio tempo ainda consigo parecer forte mudei outras pessoas mostro fraqueza tá sozinha casa
Eu sempre me curei sozinho eu não tenho costume de falar para alguém eu não gosto de parecer Fraco mas também não quer dizer que eu seja forte eu sempre fui uma maior que todo mundo mais forte ou mais engraçado não tive tempo para cá eu tenho percebido que pessoa menos que todo mundo e eu não consigo me abrir para ninguém eu não consigo falar o que eu sinto você já veio muito tempo mas eu ainda consigo parecer forte não mudei com as outras pessoas eu só mostro minha fraqueza quando ela tá sozinha em casa,5,synonym_replacement,"['Eu', 'sempre', 'me', 'curei', 'sozinho', 'eu', 'não', 'tenho', 'costume', 'de', 'falar', 'para', 'alguém', 'eu', 'não', 'gosto', 'de', 'parecer', 'Fraco', 'mas', 'também', 'não', 'quer', 'dizer', 'que', 'eu', 'seja', 'forte', 'eu', 'sempre', 'fui', 'uma', 'maior', 'que', 'todo', 'mundo', 'mais', 'forte', 'ou', 'mais', 'engraçado', 'não', 'tive', 'tempo', 'para', 'cá', 'eu', 'tenho', 'percebido', 'que', 'pessoa', 'menos', 'que', 'todo', 'mundo', 'e', 'eu', 'não', 'consigo', 'me', 'abrir', 'para', 'ninguém', 'eu', 'não', 'consigo', 'falar', 'o', 'que', 'eu', 'sinto', 'você', 'já', 'veio', 'muito', 'tempo', 'mas', 'eu', 'ainda', 'consigo', 'parecer', 'forte', 'não', 'mudei', 'com', 'as', 'outras', 'pessoas', 'eu', 'só', 'mostro', 'minha', 'fraqueza', 'quando', 'ela', 'tá', 'sozinha', 'em', 'casa']","['sempre', 'curei', 'sozinho', 'costume', 'falar', 'alguém', 'gosto', 'parecer', 'Fraco', 'quer', 'dizer', 'forte', 'sempre', 'maior', 'todo', 'mundo', 'forte', 'engraçado', 'tempo', 'cá', 'percebido', 'pessoa', 'menos', 'todo', 'mundo', 'consigo', 'abrir', 'ninguém', 'consigo', 'falar', 'sinto', 'veio', 'tempo', 'ainda', 'consigo', 'parecer', 'forte', 'mudei', 'outras', 'pessoas', 'mostro', 'fraqueza', 'tá', 'sozinha', 'casa']",sempre curei sozinho costume falar alguém gosto parecer Fraco quer dizer forte sempre maior todo mundo forte engraçado tempo cá percebido pessoa menos todo mundo consigo abrir ninguém consigo falar sinto veio tempo ainda consigo parecer forte mudei outras pessoas mostro fraqueza tá sozinha casa
Eu sempre mais me curei sozinho eu não tenho costume de falar para alguém eu não gosto de parecer Fraco mas também não quer dizer que eu seja forte eu sempre fui uma maior que todo mundo mais forte ou mais engraçado não tive tempo para cá eu tenho percebido que pessoa menos que todo mundo e eu não consigo me abrir para ninguém eu não consigo falar o que eu sinto você já veio muito tempo mas eu ainda consigo parecer forte não mudei com as outras pessoas eu só mostro minha fraqueza quando ela tá sozinha em casa,5,random_insertion,"['Eu', 'sempre', 'mais', 'me', 'curei', 'sozinho', 'eu', 'não', 'tenho', 'costume', 'de', 'falar', 'para', 'alguém', 'eu', 'não', 'gosto', 'de', 'parecer', 'Fraco', 'mas', 'também', 'não', 'quer', 'dizer', 'que', 'eu', 'seja', 'forte', 'eu', 'sempre', 'fui', 'uma', 'maior', 'que', 'todo', 'mundo', 'mais', 'forte', 'ou', 'mais', 'engraçado', 'não', 'tive', 'tempo', 'para', 'cá', 'eu', 'tenho', 'percebido', 'que', 'pessoa', 'menos', 'que', 'todo', 'mundo', 'e', 'eu', 'não', 'consigo', 'me', 'abrir', 'para', 'ninguém', 'eu', 'não', 'consigo', 'falar', 'o', 'que', 'eu', 'sinto', 'você', 'já', 'veio', 'muito', 'tempo', 'mas', 'eu', 'ainda', 'consigo', 'parecer', 'forte', 'não', 'mudei', 'com', 'as', 'outras', 'pessoas', 'eu', 'só', 'mostro', 'minha', 'fraqueza', 'quando', 'ela', 'tá', 'sozinha', 'em', 'casa']","['sempre', 'curei', 'sozinho', 'costume', 'falar', 'alguém', 'gosto', 'parecer', 'Fraco', 'quer', 'dizer', 'forte', 'sempre', 'maior', 'todo', 'mundo', 'forte', 'engraçado', 'tempo', 'cá', 'percebido', 'pessoa', 'menos', 'todo', 'mundo', 'consigo', 'abrir', 'ninguém', 'consigo', 'falar', 'sinto', 'veio', 'tempo', 'ainda', 'consigo', 'parecer', 'forte', 'mudei', 'outras', 'pessoas', 'mostro', 'fraqueza', 'tá', 'sozinha', 'casa']",sempre curei sozinho costume falar alguém gosto parecer Fraco quer dizer forte sempre maior todo mundo forte engraçado tempo cá percebido pessoa menos todo mundo consigo abrir ninguém consigo falar sinto veio tempo ainda consigo parecer forte mudei outras pessoas mostro fraqueza tá sozinha casa
Eu sempre me curei sozinho eu não tenho costume de falar para alguém eu não gosto de parecer Fraco mas também não quer dizer que eu seja forte eu sempre fui uma maior que todo mundo mais forte ou mais engraçado não tive tempo para cá eu tenho percebido que pessoa menos que todo eu e eu não consigo me abrir para ninguém eu não consigo falar o que eu sinto você já veio muito tempo mas mundo ainda consigo parecer forte não mudei com as outras pessoas eu só mostro minha fraqueza quando ela tá sozinha em casa,5,random_swap,"['Eu', 'sempre', 'me', 'curei', 'sozinho', 'eu', 'não', 'tenho', 'costume', 'de', 'falar', 'para', 'alguém', 'eu', 'não', 'gosto', 'de', 'parecer', 'Fraco', 'mas', 'também', 'não', 'quer', 'dizer', 'que', 'eu', 'seja', 'forte', 'eu', 'sempre', 'fui', 'uma', 'maior', 'que', 'todo', 'mundo', 'mais', 'forte', 'ou', 'mais', 'engraçado', 'não', 'tive', 'tempo', 'para', 'cá', 'eu', 'tenho', 'percebido', 'que', 'pessoa', 'menos', 'que', 'todo', 'eu', 'e', 'eu', 'não', 'consigo', 'me', 'abrir', 'para', 'ninguém', 'eu', 'não', 'consigo', 'falar', 'o', 'que', 'eu', 'sinto', 'você', 'já', 'veio', 'muito', 'tempo', 'mas', 'mundo', 'ainda', 'consigo', 'parecer', 'forte', 'não', 'mudei', 'com', 'as', 'outras', 'pessoas', 'eu', 'só', 'mostro', 'minha', 'fraqueza', 'quando', 'ela', 'tá', 'sozinha', 'em', 'casa']","['sempre', 'curei', 'sozinho', 'costume', 'falar', 'alguém', 'gosto', 'parecer', 'Fraco', 'quer', 'dizer', 'forte', 'sempre', 'maior', 'todo', 'mundo', 'forte', 'engraçado', 'tempo', 'cá', 'percebido', 'pessoa', 'menos', 'todo', 'consigo', 'abrir', 'ninguém', 'consigo', 'falar', 'sinto', 'veio', 'tempo', 'mundo', 'ainda', 'consigo', 'parecer', 'forte', 'mudei', 'outras', 'pessoas', 'mostro', 'fraqueza', 'tá', 'sozinha', 'casa']",sempre curei sozinho costume falar alguém gosto parecer Fraco quer dizer forte sempre maior todo mundo forte engraçado tempo cá percebido pessoa menos todo consigo abrir ninguém consigo falar sinto veio tempo mundo ainda consigo parecer forte mudei outras pessoas mostro fraqueza tá sozinha casa
Eu sempre me curei eu não tenho de falar para alguém eu não gosto de parecer Fraco não quer dizer que eu seja forte eu sempre fui uma maior que todo mundo mais forte ou mais engraçado não tive tempo para cá eu tenho percebido que pessoa menos que todo e eu não consigo me abrir para ninguém eu não consigo falar o que eu sinto você já veio muito tempo eu ainda consigo parecer forte não mudei com as outras eu só mostro minha fraqueza quando ela tá sozinha em casa,5,random_deletion,"['Eu', 'sempre', 'me', 'curei', 'eu', 'não', 'tenho', 'de', 'falar', 'para', 'alguém', 'eu', 'não', 'gosto', 'de', 'parecer', 'Fraco', 'não', 'quer', 'dizer', 'que', 'eu', 'seja', 'forte', 'eu', 'sempre', 'fui', 'uma', 'maior', 'que', 'todo', 'mundo', 'mais', 'forte', 'ou', 'mais', 'engraçado', 'não', 'tive', 'tempo', 'para', 'cá', 'eu', 'tenho', 'percebido', 'que', 'pessoa', 'menos', 'que', 'todo', 'e', 'eu', 'não', 'consigo', 'me', 'abrir', 'para', 'ninguém', 'eu', 'não', 'consigo', 'falar', 'o', 'que', 'eu', 'sinto', 'você', 'já', 'veio', 'muito', 'tempo', 'eu', 'ainda', 'consigo', 'parecer', 'forte', 'não', 'mudei', 'com', 'as', 'outras', 'eu', 'só', 'mostro', 'minha', 'fraqueza', 'quando', 'ela', 'tá', 'sozinha', 'em', 'casa']","['sempre', 'curei', 'falar', 'alguém', 'gosto', 'parecer', 'Fraco', 'quer', 'dizer', 'forte', 'sempre', 'maior', 'todo', 'mundo', 'forte', 'engraçado', 'tempo', 'cá', 'percebido', 'pessoa', 'menos', 'todo', 'consigo', 'abrir', 'ninguém', 'consigo', 'falar', 'sinto', 'veio', 'tempo', 'ainda', 'consigo', 'parecer', 'forte', 'mudei', 'outras', 'mostro', 'fraqueza', 'tá', 'sozinha', 'casa']",sempre curei falar alguém gosto parecer Fraco quer dizer forte sempre maior todo mundo forte engraçado tempo cá percebido pessoa menos todo consigo abrir ninguém consigo falar sinto veio tempo ainda consigo parecer forte mudei outras mostro fraqueza tá sozinha casa
