ID,Transcription,tag,Link
2,o áudio que eu nunca vou receber do meu pai Oi meu filho deixa eu te falar papai tá cheio de orgulho de você viu cheio de orgulho mesmo meu filho cheio de orgulho você só me deu orgulho e hoje eu tô muito feliz meu filho por você viu muito mesmo parabéns meu filho parabéns parabéns que o senhor sempre venha estar te guardando sempre venha estar te abençoando viu parabéns hoje você deixou o seu pai muito orgulhoso mesmo meu filho viu te amo viu,depressao,https://www.instagram.com/reel/C-BlYZsv2l8/?igsh=MTlxNWNtaHJvNXFtZA==
3,Mas a gente não pode esquecer do mais importante da noite que é o antidepressivo porque eu acho uma coisa assim um absurdo eu ter que pagar r$ 200 por mês para ter vontade de viver entendeu o meu cérebro poderia ter sido mais caprichado nesse ponto aí Além disso eu tenho que ter Eu também o outro que eu tenho que tomar de dia para poder lembrar de ter vontade de viver olha aqui não podia ter sido mais bem elaborado sério por ter sido mais bem entendeu olha vamos caprichar ali eu podia ter tido menos estratégico e mais serotonina eu ia ficar muito feliz se fosse assim entendeu,depressao,https://www.instagram.com/reel/C8nl1Wexwub/?igsh=M2xiaDh4OXdqdWcx
4,as pessoas que não têm o paraíso dentro delas não conseguem ver o paraíso fora delas é preciso ter o paraíso dentro para ver o paraíso fora se você só tem infernos dentro de você você saberá inferno do lado de fora Nós não vemos o que vemos nós vemos o que somos,depressao,https://www.instagram.com/reel/C7p0nw8tcOw/?igsh=MTB3N2hqeGV4cWdmOA==
5,a mãe encheu a banheira de água e afogou todos os seus cinco filhos um a um deixando o noa de 7 anos por último após afogá-los colocou os corpos da cama do casal deixando a mais nova Mary nos braços de John pois acreditava que assim ele iria proteger a irmã mais nova na vida pós morte em sequência Andreia ligou para polícia e pediu que alguém fosse até a sua casa ligando também para o roxo e pedindo que ele retornasse com a chegada da polícia ao ser questionado sobre o que aconteceu Andreia afirmou eu matei meus filhos ela acreditava que assumindo tudo de uma vez seria presa e condenada à morte,depressao,https://www.instagram.com/reel/C7hrzwUv-cp/?igsh=Z24wdjgxZW5haHdq
7,se um dos Pais é autista o filho vai ser autista Hum eu vou inverter a questão se um filho é autista um dos Pais é autista sabe uma coisa muito interessante que tenha acontecido cada vez mais é a gente descobrir o diagnóstico de autismo nos pais através do diagnóstico dos filhos sim o autismo é um transtorno do neurodesenvolvimento e tem um forte componente genético então o que que acontece a gente tem feito o diagnóstico de autismo melhor com mais acurácia muito mais bonito muito mais sólido através do diagnóstico através dos médicos através dos psicólogos através dos lados neuropsicológicos nas crianças nos jovens e até mesmo nos adultos só que aí a gente vai fazer a investigação familiar quando a gente vai fazer a investigação familiar a gente consegue descobrir que um dos pais ou até mesmo os dois têm autismo E aí a gente consegue tratar o conjunto familiar tratar com o remédio não gente autismo não é com o remédio autismo é com uma configuração com psicoterapia escola abordagens se tiver algum sintoma psiquiátrico a gente tá trata com remédio mas é muito legal a gente descobrir essa questão do autismo em familiares de autista,depressao,https://www.instagram.com/reel/C9qIz4dBQKe/?igsh=MWRtdzdpM2oxZGF5YQ==
8,vem cá Quantos anos você tem Fala para o Vitória quantos anos você tem só isso 3 totalmente,depressao,https://www.instagram.com/reel/C8NHGQ5ORb5/?igsh=MXEwa3BwOHpqOGhlZg==
9,cliente diagnosticada com transtorno de ansiedade generalizada irá receber quase r$ 10000 de auxílio-doença e detalhe sem a necessidade de passar por perícia médica É isso mesmo pessoas com esse diagnóstico podem ter direito ao auxílio-doença tá lembrando que é muito importante uma análise de todo o tratamento médico do histórico médico desse paciente cliente então se você conhece alguém que sofra com depressão ou tenha ansiedade generalizada já encaminha esse vídeo para ela aqui,depressao,https://www.instagram.com/reel/C7clF0BOlom/?igsh=MTRieHI1c2U2dHQ3cw==
13,eu perdi alguma coisa que me era inútil como se fosse uma terceira perna uma terceira perna que me deixava como um tripé estável mas que me impedia de andar essa terceira perna eu perdi e voltei a ser a pessoa que eu sempre fui uma mulher com duas apenas duas pernas sei que apenas com duas pernas que eu posso andar Mas eu tenho medo e é difícil toda mulher sabe o momento onde você nossa perdi uma coisa que eu achei que era tão importante mas me deixa louco mas me paralisava Exatamente porque as mulheres assim pelo que eu tenho percebido elas elas imediatamente se identificam com essas questões,depressao,https://www.instagram.com/reel/C7Zu_vCPGIe/?igsh=eGM3c3d4cWFidTB1
19,uma pessoa depressiva Ela tá no fundo do poço ela não tem vontade de sair de casa raiou o dia nem sei se ela dormiu direito Mas se ela dormiu mais ou menos ela não tem vontade de sair da cama Ela faz oração dela ela vai na igreja ela tá tudo certinho ela foi num bom psicólogo e ele foi bom mesmo foi um bom psiquiatra ele foi bom mesmo mas não resolveu o caso Então ela tem que fazer uma dosagem de um hormônio chamado TSH o TSH é um hormônio liberado pelo pelo uma glândula no centro do cérebro chama-se hipófise ela produz um monte de hormônio essa essa Glenda produz o TSH que é um hormônio estimulante da tireoide E aí a tireoide que vai produzir T3 T4 é responsável por todo o teu ônibus na mulher olha só é então ela tá derrubada tá lá com o hormônio deu 19 de TSH quando o hormônio TSH está alto que ele é uma substância que estimula tireoide quer dizer que ele tá muito alta tá parecendo muito sério porque a tireoide tá paradinha é uma pessoa parada e vamos vamos vamos vamos vamos vamos quando a tireoide TSH está baixo quer dizer que a tireoide está falando muito porque é uma Hornet de controle percebeu como o cérebro comida e hormônio Tem Tudo a Ver Tudo ligado isso então não adianta eu fazia terapia somente,depressao,https://www.instagram.com/reel/C8LGVdHiyPd/?igsh=MTVpNTR3YjQ4OThndQ==
23,,depressao,https://www.instagram.com/reel/C9SUc2pRh84/?igsh=bHFyajVrOTUzcThw
